gene_name,gene_length,gene_type,gene_chr
Psap,24970.0,protein_coding,chr10
Srek1,35260.0,protein_coding,chr13
Rilpl1,38311.0,protein_coding,chr5
Vwc2l,159682.0,protein_coding,chr1
Dmtn,34785.0,protein_coding,chr14
Faf1,287372.0,protein_coding,chr4
Ttyh1,17300.0,protein_coding,chr7
Trerf1,221083.0,processed_transcript,chr17
Gpatch8,80477.0,protein_coding,chr11
Calm1,10379.0,protein_coding,chr12
Ablim2,127093.0,protein_coding,chr5
Ppm1e,132117.0,protein_coding,chr11
Crocc,43913.0,protein_coding,chr4
Srcap,49236.0,protein_coding,chr7
Gm28379,30750.0,,
Cacna1b,159265.0,protein_coding,chr2
Zmym3,16465.0,,
Pi4ka,125963.0,protein_coding,chr16
Stag1,361577.0,protein_coding,chr9
Zdhhc8,14383.0,protein_coding,chr16
R3hdm4,11156.0,protein_coding,chr10
Zdhhc14,261254.0,protein_coding,chr17
Zeb1,183607.0,protein_coding,chr18
Mmel1,25943.0,protein_coding,chr4
Cdh18,925396.0,protein_coding,chr15
Fbxl17,442565.0,protein_coding,chr17
Zmynd8,114864.0,protein_coding,chr2
Fus,18244.0,protein_coding,chr7
Bsn,94362.0,protein_coding,chr9
Xkr6,214306.0,protein_coding,chr14
Sfpq,15689.0,,
Stk25,38908.0,protein_coding,chr1
Armc9,123504.0,protein_coding,chr1
Kif1b,131374.0,protein_coding,chr4
Supt5,23855.0,protein_coding,chr7
1700111E14Rik,48736.0,,
Bin1,58507.0,protein_coding,chr18
Dbn1,14682.0,protein_coding,chr13
Rabgap1l,574037.0,protein_coding,chr1
Cck,5870.0,protein_coding,chr9
Akt3,238130.0,protein_coding,chr1
Chd3,26133.0,protein_coding,chr11
Csnk1g2,17911.0,protein_coding,chr10
Rps16,2503.0,protein_coding,chr7
Pou2f2,92382.0,protein_coding,chr7
Ncam1,296789.0,protein_coding,chr9
Agap2,17885.0,protein_coding,chr10
Cntn5,1243884.0,protein_coding,chr9
Epha5,362621.0,protein_coding,chr5
Svop,64660.0,protein_coding,chr5
Hnrnpl,13725.0,protein_coding,chr7
Kitl,84786.0,protein_coding,chr10
Celf1,79115.0,protein_coding,chr2
Eif4g1,24571.0,protein_coding,chr16
Safb2,23620.0,protein_coding,chr17
Srrm4,152542.0,protein_coding,chr5
Camta2,18642.0,protein_coding,chr11
Zswim8,16067.0,,
Epha10,36901.0,protein_coding,chr4
Gm20642,30359.0,antisense,chr14
Lamp5,17678.0,protein_coding,chr2
Kcnc2,195903.0,protein_coding,chr10
Slc4a10,280268.0,protein_coding,chr2
Gphn,458393.0,protein_coding,chr12
Chrm1,19798.0,,
Tmem191c,7152.0,protein_coding,chr16
Atp1a3,27791.0,protein_coding,chr7
Exoc4,724894.0,protein_coding,chr6
4930402H24Rik,200206.0,protein_coding,chr2
Rfx3,249445.0,protein_coding,chr19
Ctxn1,1614.0,,
Odf2,42525.0,protein_coding,chr2
Eef2,5867.0,protein_coding,chr10
Tmem59l,3491.0,protein_coding,chr8
Asic2,1088288.0,protein_coding,chr11
Palm,27324.0,protein_coding,chr10
B230216N24Rik,26564.0,processed_transcript,chr1
Nptxr,18415.0,,
Rhbdl3,55043.0,protein_coding,chr11
4930445B16Rik,96543.0,lincRNA,chr2
2610507B11Rik,28871.0,protein_coding,chr11
Gm15398,125776.0,lincRNA,chr10
Atp6v0b,3007.0,protein_coding,chr4
Ptprk,522577.0,protein_coding,chr10
Robo1,737789.0,protein_coding,chr16
Cers4,38654.0,protein_coding,chr8
Stxbp5l,270020.0,protein_coding,chr16
Mbd5,375897.0,protein_coding,chr2
Sbno1,57299.0,protein_coding,chr5
Unc5a,56607.0,protein_coding,chr13
Srrm2,34209.0,protein_coding,chr17
9630028H03Rik,258137.0,antisense,chr2
Kmt2a,77941.0,protein_coding,chr9
Arpc2,32125.0,protein_coding,chr1
Gria1,318857.0,protein_coding,chr11
Pcdh9,877269.0,protein_coding,chr14
Filip1l,220033.0,protein_coding,chr16
Mapk1,64071.0,protein_coding,chr16
C2cd2l,11048.0,protein_coding,chr9
Gm16351,57763.0,lincRNA,chr8
Gm26749,41738.0,,
Spock2,28979.0,protein_coding,chr10
Ext1,282121.0,protein_coding,chr15
Atp9a,107971.0,protein_coding,chr2
Ryr3,585741.0,protein_coding,chr2
Sptbn1,168780.0,protein_coding,chr11
Gm11613,16183.0,processed_transcript,chr11
Cacnb4,248511.0,protein_coding,chr2
Dync1li1,35512.0,protein_coding,chr9
Ptprn2,791129.0,protein_coding,chr12
Elmod1,63844.0,protein_coding,chr9
Ppfia3,27897.0,protein_coding,chr7
Slc6a6,75013.0,protein_coding,chr6
Aplp1,10553.0,protein_coding,chr7
Rtn1,197302.0,protein_coding,chr12
Socs7,36107.0,protein_coding,chr11
Rbm25,51887.0,,
Sobp,172030.0,protein_coding,chr10
Wac,60196.0,protein_coding,chr18
Stk19,12952.0,protein_coding,chr17
L1cam,42327.0,protein_coding,chrX
Grid1,763271.0,protein_coding,chr14
Faah,50781.0,protein_coding,chr4
Chd8,59629.0,,
Cltb,18943.0,protein_coding,chr13
Shank2,422566.0,protein_coding,chr7
Gria3,277747.0,protein_coding,chrX
Trim46,12132.0,protein_coding,chr3
Osbpl10,253656.0,protein_coding,chr9
Zeb2,133763.0,protein_coding,chr2
Spred1,60905.0,,
Atp6ap1,7624.0,protein_coding,chrX
Cit,163669.0,protein_coding,chr5
Ksr2,361003.0,protein_coding,chr5
Gramd1a,25769.0,protein_coding,chr7
Map7d1,24176.0,protein_coding,chr4
Leng9,2459.0,protein_coding,chr7
Mat2a,6759.0,protein_coding,chr6
Dync1h1,65493.0,protein_coding,chr12
Dlgap1,852340.0,protein_coding,chr17
Gabbr2,329568.0,protein_coding,chr4
Ubn2,90875.0,,
Nrg3,1104136.0,protein_coding,chr14
Wdr66,75382.0,protein_coding,chr5
Rasgrf1,117069.0,protein_coding,chr9
Prrt1,3593.0,protein_coding,chr17
Sgsm2,47799.0,protein_coding,chr11
Strn4,25042.0,protein_coding,chr7
Abcc5,95091.0,protein_coding,chr16
Klf12,414047.0,protein_coding,chr14
Caskin1,20070.0,protein_coding,chr17
Cpeb2,56554.0,protein_coding,chr5
Rbm5,30625.0,,
Atp8a1,229294.0,protein_coding,chr5
Nbeal1,157729.0,,
Prrc2a,15821.0,protein_coding,chr17
Pdzd4,31610.0,,
Nlgn1,906245.0,protein_coding,chr3
Thy1,5195.0,protein_coding,chr9
Plekhg5,42902.0,protein_coding,chr4
Cacna1d,451516.0,protein_coding,chr14
Anks3,22769.0,,
Hivep3,404261.0,protein_coding,chr4
Eif4g3,215486.0,protein_coding,chr4
Ahdc1,66850.0,protein_coding,chr4
Ddn,5713.0,protein_coding,chr15
Kcnj9,8817.0,protein_coding,chr1
Lzts1,51556.0,protein_coding,chr8
Grin3a,184133.0,protein_coding,chr4
Phkg2,9967.0,protein_coding,chr7
Pcsk2os2,48382.0,antisense,chr2
Gripap1,30802.0,protein_coding,chrX
A230004M16Rik,262775.0,processed_transcript,chr11
Crym,15731.0,protein_coding,chr7
Dhx30,33510.0,,
Chka,42596.0,protein_coding,chr19
Nell2,453329.0,protein_coding,chr15
Ttbk1,45227.0,protein_coding,chr17
Adam22,295808.0,protein_coding,chr5
Vps13b,560069.0,protein_coding,chr15
Pabpc4,36574.0,protein_coding,chr4
Sh3glb2,14528.0,protein_coding,chr2
Ptpru,69831.0,protein_coding,chr4
Ccbe1,257439.0,protein_coding,chr18
Echdc2,13871.0,,
Klf13,52564.0,protein_coding,chr7
Pea15a,10076.0,protein_coding,chr1
Pafah1b1,50721.0,,
Lrrc4b,34333.0,protein_coding,chr7
Pde4dip,198883.0,protein_coding,chr3
Mbnl2,156028.0,protein_coding,chr14
Actl6b,16065.0,protein_coding,chr5
Grb14,112511.0,protein_coding,chr2
Zranb2,14250.0,,
Prkag2,237898.0,protein_coding,chr5
Prkcb,345651.0,protein_coding,chr7
Cnnm1,56774.0,protein_coding,chr19
Sgcz,1139210.0,protein_coding,chr8
Negr1,754651.0,protein_coding,chr3
Hap1,8801.0,protein_coding,chr11
Wipf3,74165.0,protein_coding,chr6
Pcsk1n,4588.0,,
Sdc3,33782.0,protein_coding,chr4
Lzts3,9964.0,protein_coding,chr2
Cabp1,25692.0,protein_coding,chr5
Itm2c,14394.0,protein_coding,chr1
Mid1,320537.0,protein_coding,chrX
Mgat5b,68085.0,protein_coding,chr11
Myo16,480831.0,protein_coding,chr8
Cpne6,6986.0,,
B3galt1,556818.0,protein_coding,chr2
Necab3,14491.0,,
Trmt1,13501.0,protein_coding,chr8
Actn4,69092.0,protein_coding,chr7
Ash1l,128753.0,protein_coding,chr3
Cebpz,18060.0,,
Sgk3,102738.0,protein_coding,chr1
Rit2,343801.0,protein_coding,chr18
Slitrk5,8044.0,protein_coding,chr14
Fbxo41,33420.0,protein_coding,chr6
Gabbr1,29101.0,protein_coding,chr17
Epha4,147903.0,protein_coding,chr1
Trrap,92046.0,protein_coding,chr5
Kmt2c,226985.0,,
Mllt10,157151.0,protein_coding,chr2
Ppip5k1,44835.0,protein_coding,chr2
Etnk1,65086.0,protein_coding,chr6
Agfg2,34263.0,protein_coding,chr5
Asb3,217288.0,protein_coding,chr11
Zbtb7a,17775.0,protein_coding,chr10
Tnrc6c,109150.0,protein_coding,chr11
Prepl,26771.0,protein_coding,chr17
Ppp1r16a,23304.0,,
Calm2,13523.0,,
Cacng3,98901.0,protein_coding,chr7
Ap2a1,29123.0,protein_coding,chr7
Nxf1,13849.0,protein_coding,chr19
Mical3,199292.0,protein_coding,chr6
B4galnt1,7105.0,protein_coding,chr10
Rufy3,86352.0,protein_coding,chr5
Madd,46477.0,protein_coding,chr2
Kcnq2,59721.0,protein_coding,chr2
Ogt,44291.0,protein_coding,chrX
Dgkb,816513.0,protein_coding,chr12
Nf1,241919.0,protein_coding,chr11
Rpl38,3807.0,,
Cdh22,123346.0,protein_coding,chr2
Zcchc7,176338.0,protein_coding,chr4
Tcf25,30082.0,protein_coding,chr8
Enpp2,113991.0,protein_coding,chr15
Brinp2,111057.0,protein_coding,chr1
Sh3gl2,434069.0,protein_coding,chr4
Fscn1,12842.0,protein_coding,chr5
Adam15,11454.0,protein_coding,chr3
Iqsec2,80968.0,protein_coding,chrX
Taok3,155090.0,protein_coding,chr5
Brip1os,103073.0,antisense,chr11
Scn3a,110509.0,protein_coding,chr2
Adamts16,114009.0,protein_coding,chr13
Mef2c,163046.0,protein_coding,chr13
Plxna2,198651.0,protein_coding,chr1
Fnbp4,35651.0,,
Ppp1r12c,20160.0,protein_coding,chr7
Epha3,320641.0,protein_coding,chr16
Pspc1,57606.0,,
Fam131a,9807.0,protein_coding,chr16
Chd4,34610.0,protein_coding,chr6
Capn15,27432.0,protein_coding,chr17
Kif1a,86487.0,protein_coding,chr1
Fryl,236632.0,protein_coding,chr5
Dpf1,14292.0,protein_coding,chr7
Arhgef2,42086.0,protein_coding,chr3
Dnm2,82851.0,protein_coding,chr9
Rimbp2,195695.0,protein_coding,chr5
Usp4,44692.0,protein_coding,chr9
Tcf12,269183.0,,
Lix1,56715.0,protein_coding,chr17
Fbxl19,24940.0,protein_coding,chr7
Map2k2,28060.0,protein_coding,chr10
Gm20721,16393.0,,
Gnao1,159422.0,protein_coding,chr8
Ints1,24392.0,protein_coding,chr5
Dach1,382912.0,protein_coding,chr14
Mink1,51602.0,protein_coding,chr11
Gm5441,102501.0,antisense,chr12
Sept7,56132.0,,
Wdr7,281091.0,protein_coding,chr18
Ndst3,164687.0,protein_coding,chr3
Kcnj3,162175.0,protein_coding,chr2
Rims2,486111.0,protein_coding,chr15
Trim2,146438.0,protein_coding,chr3
Zbtb20,766721.0,protein_coding,chr16
Osbp,28171.0,,
Csnk1g1,136091.0,protein_coding,chr9
Pmepa1,52075.0,protein_coding,chr2
Fcho1,17329.0,protein_coding,chr8
Pcdh7,415263.0,protein_coding,chr5
Dmwd,6549.0,,
Rps21,1068.0,,
Sez6l2,20043.0,protein_coding,chr7
Cherp,14737.0,protein_coding,chr8
Atp6v0a1,54267.0,protein_coding,chr11
Nckap5,917179.0,protein_coding,chr1
Tcf4,345723.0,protein_coding,chr18
Tnr,407960.0,protein_coding,chr1
Cx3cl1,10418.0,,
Gls,69784.0,protein_coding,chr1
Plekhm2,39165.0,protein_coding,chr4
Cbx6,10792.0,protein_coding,chr15
Sgsm1,67566.0,protein_coding,chr5
Por,65293.0,protein_coding,chr5
Rtn4r,24766.0,protein_coding,chr16
Ppp4r4,81548.0,protein_coding,chr12
Arhgef25,7558.0,protein_coding,chr10
Wnk2,111711.0,protein_coding,chr13
Ckap5,93902.0,protein_coding,chr2
Kcnb1,94186.0,protein_coding,chr2
Atrx,131788.0,,
Pik3r2,8537.0,,
Kcnt2,365909.0,protein_coding,chr1
Astn1,329508.0,protein_coding,chr1
Ankhd1,98926.0,,
Maged1,6669.0,,
Ptprf,83192.0,protein_coding,chr4
Clstn1,62431.0,protein_coding,chr4
Sgcd,1092716.0,protein_coding,chr11
Adcy1,115017.0,protein_coding,chr11
Arhgap33,12834.0,protein_coding,chr7
Orc4,47453.0,,
Tiam2,204771.0,protein_coding,chr17
Prex1,147490.0,protein_coding,chr2
Slc25a23,16152.0,protein_coding,chr17
Plch2,73669.0,protein_coding,chr4
Cplx2,12568.0,protein_coding,chr13
Mgat5,283321.0,protein_coding,chr1
Nsmf,8526.0,,
Lpcat4,7643.0,protein_coding,chr2
Aldoa,6917.5,protein_coding,chr7
Numbl,23711.0,protein_coding,chr7
Rsf1,112889.0,protein_coding,chr7
Elfn2,51440.0,protein_coding,chr15
Fmnl1,27794.0,protein_coding,chr11
Eml2,30061.0,protein_coding,chr7
Magi1,608462.0,protein_coding,chr6
Rbm24,12661.0,protein_coding,chr13
Unc79,235206.0,protein_coding,chr12
Farp1,248544.0,protein_coding,chr14
Tnk2,39619.0,protein_coding,chr16
Fubp1,26404.0,protein_coding,chr3
Srsf6,5593.0,,
Kdm5c,41515.0,protein_coding,chrX
Angpt1,252254.0,protein_coding,chr15
Rbfox2,228014.0,protein_coding,chr15
Gm15155,721146.0,protein_coding,chrX
4930512B01Rik,50191.0,antisense,chr12
Mafg,8483.0,protein_coding,chr11
Zmiz2,17084.0,protein_coding,chr11
Sptbn2,41193.0,protein_coding,chr19
9330159F19Rik,19173.0,protein_coding,chr10
Cox8a,2463.0,protein_coding,chr19
Cntnap5b,713177.0,protein_coding,chr1
Ift20,5376.0,,
Ckb,2977.0,protein_coding,chr12
Anapc5,33880.0,,
Map1b,95094.0,,
Cap2,148433.0,protein_coding,chr13
Mapk8ip1,17587.0,,
Sox11,8310.0,protein_coding,chr12
Dlgap4,150658.0,protein_coding,chr2
Susd4,132731.0,protein_coding,chr1
Ap1s1,11142.0,protein_coding,chr5
Ddx5,8830.0,protein_coding,chr11
Taok2,19025.0,,
Cyfip2,119009.0,protein_coding,chr11
Srsf5,5003.0,,
Slc2a3,73831.0,protein_coding,chr6
Cnot1,88013.0,protein_coding,chr8
Ccdc30,93055.0,,
Psme4,108635.0,,
Rpl34,3567.0,protein_coding,chr3
Tctn2,28989.0,processed_transcript,chr5
Rps6ka3,157937.0,protein_coding,chrX
Ddx17,19005.0,protein_coding,chr15
Slc4a3,15906.0,protein_coding,chr1
Slc24a2,247353.0,protein_coding,chr4
Ankrd13b,19193.0,protein_coding,chr11
Klc1,48995.0,protein_coding,chr12
Rab11fip3,80519.0,protein_coding,chr17
Akap1,33794.0,protein_coding,chr11
Map4k5,89450.0,protein_coding,chr12
Fry,379108.0,protein_coding,chr5
Lrp1,82987.0,protein_coding,chr10
Gramd1b,238150.0,protein_coding,chr9
Dusp18,6056.0,protein_coding,chr11
Igf1r,280841.0,protein_coding,chr7
Zfr,67852.0,,
Cers5,38004.0,protein_coding,chr15
Ccdc88a,137150.0,protein_coding,chr11
Zbtb18,8413.0,protein_coding,chr1
Gucy1a2,361958.0,protein_coding,chr9
Pfkm,39862.0,protein_coding,chr15
Igsf21,219938.0,protein_coding,chr4
Tcerg1,64306.0,,
Gtf3c2,24139.0,,
Slit2,324595.0,protein_coding,chr5
Nop56,4883.0,,
Pde1a,295005.0,protein_coding,chr2
1600020E01Rik,56219.0,,
Myef2,39033.0,protein_coding,chr2
Hs3st2,109911.0,protein_coding,chr7
Rogdi,4823.0,protein_coding,chr16
Fat4,125045.0,protein_coding,chr3
Shisa7,19144.0,protein_coding,chr7
Pitpnm1,13967.0,protein_coding,chr19
Gigyf1,9387.0,,
Chd6,162097.0,protein_coding,chr2
Ppfibp1,143538.0,protein_coding,chr6
Huwe1,134610.0,protein_coding,chrX
Cckbr,45167.0,protein_coding,chr7
Zdhhc1,24479.0,protein_coding,chr8
Atxn2l,11729.0,protein_coding,chr7
Cdc42bpa,205131.0,protein_coding,chr1
B830012L14Rik,7001.0,lincRNA,chr12
Fnip1,80036.0,protein_coding,chr11
D630045J12Rik,130835.0,protein_coding,chr6
Cpne9,23320.0,protein_coding,chr6
Tial1,21940.0,protein_coding,chr7
Lysmd4,84786.0,,
Gm28905,231354.0,lincRNA,chr10
Hnrnph1,9538.0,,
Rhobtb2,20646.0,protein_coding,chr14
Ppp1r37,32276.0,protein_coding,chr7
Map2k4,100054.0,protein_coding,chr11
Wdfy3,236965.0,protein_coding,chr5
Cacng8,24965.0,protein_coding,chr7
Mapk8ip3,44824.0,protein_coding,chr17
Nalcn,350510.0,protein_coding,chr14
Celsr2,24701.0,,
Syn3,443771.0,protein_coding,chr10
Psmd13,16675.0,protein_coding,chr7
Cmip,202366.0,protein_coding,chr8
Rgs7,433413.0,protein_coding,chr1
Tecpr1,29173.0,protein_coding,chr5
Cdk10,7408.0,protein_coding,chr8
Rpl37a,2523.0,,
Nek10,208644.0,protein_coding,chr14
Pkd1,46674.0,protein_coding,chr17
Cpe,100512.0,protein_coding,chr8
Cdk5r1,4161.0,protein_coding,chr11
Strbp,220631.0,protein_coding,chr2
Arid5b,186220.0,protein_coding,chr10
Slc24a5,20553.0,,
Tia1,29186.0,,
Sept3,23122.0,protein_coding,chr15
Sfmbt2,224743.0,protein_coding,chr2
Eftud2,42512.0,protein_coding,chr11
Fnbp1,115802.0,protein_coding,chr2
Fam171a2,10701.0,protein_coding,chr11
Mmp16,266252.0,protein_coding,chr4
Nktr,37674.0,protein_coding,chr9
Drc1,85307.0,protein_coding,chr5
Ccdc57,106343.0,protein_coding,chr11
Pfkp,69009.0,protein_coding,chr13
Clk3,15236.0,protein_coding,chr9
Kcnk9,45251.0,protein_coding,chr15
Hdac6,17769.0,,
Pld3,21218.0,protein_coding,chr7
Cdh12,1140268.0,protein_coding,chr15
Plxna3,15623.0,,
Pip4k2c,14518.0,,
Gm11867,484493.0,processed_transcript,chr4
Gpr162,5539.0,,
Mapk3,6218.0,protein_coding,chr7
Pip4k2b,29547.0,protein_coding,chr11
Irf2bp2,5690.0,,
Ctdspl,117545.0,protein_coding,chr9
Mllt6,22049.0,protein_coding,chr11
Kif21b,46609.0,protein_coding,chr1
Rsf1os1,46763.0,,
Dnajc7,37350.0,,
Nedd4,87506.0,protein_coding,chr9
Gnb1,67908.0,protein_coding,chr4
Nfib,415577.0,protein_coding,chr4
Atf2,76130.0,,
Fmn2,320904.0,protein_coding,chr1
Rps9,2904.0,protein_coding,chr7
Pik3r1,87654.0,protein_coding,chr13
Skap2,155127.0,protein_coding,chr6
Lsm7,2388.0,,
Ano6,183908.0,protein_coding,chr15
Reep2,6874.0,,
Vps37b,27629.0,protein_coding,chr5
Ncln,10143.0,,
Rps19,5435.0,protein_coding,chr7
Ric1,84547.0,protein_coding,chr19
Car4,8258.0,protein_coding,chr11
Capzb,98919.0,protein_coding,chr4
Kptn,7621.0,protein_coding,chr7
Prkce,490134.0,protein_coding,chr17
Atp2a2,48712.0,protein_coding,chr5
Cacnb3,13689.0,protein_coding,chr15
Gabrb2,209271.0,protein_coding,chr11
Acin1,44770.0,protein_coding,chr14
Fnbp1l,80996.0,protein_coding,chr3
Mast1,25456.0,protein_coding,chr8
Fbxl7,355121.0,protein_coding,chr15
Vps9d1,11992.0,protein_coding,chr8
Pias4,14657.0,protein_coding,chr10
Cntnap5c,640785.0,protein_coding,chr17
Megf8,48753.0,protein_coding,chr7
Brd4,88448.0,protein_coding,chr17
Ccnl2,12054.0,protein_coding,chr4
Fbxw7,163930.0,protein_coding,chr3
Grb2,64552.0,protein_coding,chr11
Arf5,3042.0,protein_coding,chr6
Dzip3,69933.0,protein_coding,chr16
Eef1a2,9361.0,protein_coding,chr2
Wnk1,114703.0,,
Cdh10,195289.0,protein_coding,chr15
Spred2,99651.0,protein_coding,chr11
Gba2,11945.0,protein_coding,chr4
Hnrnpk,12201.0,,
Spaca6,15851.0,protein_coding,chr17
Strn3,82265.0,protein_coding,chr12
Ngef,97036.0,protein_coding,chr1
Atp6v0e2,4186.0,,
Ahcyl2,144299.0,protein_coding,chr6
Slc27a1,18420.0,,
Unk,30892.0,protein_coding,chr11
Kif21a,116672.0,protein_coding,chr15
Taf1,69055.0,,
Smoc2,125284.0,protein_coding,chr17
Enox1,564997.0,protein_coding,chr14
Plcb1,689191.0,protein_coding,chr2
Twf2,12281.0,protein_coding,chr9
Prmt8,80461.0,protein_coding,chr6
Setx,58290.0,protein_coding,chr2
Msra,333278.0,protein_coding,chr14
Zfp523,28757.0,protein_coding,chr17
