gene_name,gene_length,gene_type,gene_chr
Inpp4a,110871.0,protein_coding,chr1
Coa5,13019.0,,
Unc50,8985.0,,
Mgat4a,101676.0,,
2010300C02Rik,108408.0,,
Tsga10,111653.0,,
Gm26805,6089.0,,
Lipt1,4490.0,,
Mitd1,15610.0,,
Mrpl30,8058.0,,
Txndc9,12704.0,,
Eif5b,57569.0,,
Rev1,77015.0,,
Aff3,487629.0,,
Gm16152,9025.0,,
Lonrf2,43066.0,,
Chst10,34294.0,,
Pdcl3,11630.0,,
Npas2,169505.0,,
Rpl31,4069.0,,
Tbc1d8,107263.0,,
Cnot11,11897.0,,
Gm15832,4432.0,,
Rnf149,26109.0,,
Creg2,33068.0,,
Map4k4,125397.0,protein_coding,chr1
Il1r2,51152.0,,
Gm16894,9623.0,,
Mfsd9,18649.0,,
Gm28175,42557.0,,
Pantr1,104060.0,lincRNA,chr1
Gm20646,49866.0,sense_overlapping,chr1
Pou3f3,7408.0,protein_coding,chr1
Mrps9,54450.0,,
Gpr45,82584.0,,
Tgfbrap1,51437.0,protein_coding,chr1
AI597479,17237.0,,
Fhl2,73910.0,,
Nck2,125936.0,,
Uxs1,80834.0,,
Tpp2,69353.0,,
Tex30,15828.0,,
Bivm,25813.0,,
Ercc5,33516.0,,
Col5a2,128961.0,,
Wdr75,28453.0,,
Dnah7b,307235.0,,
Dnah7c,381884.0,,
Slc39a10,85308.0,protein_coding,chr1
Gm28151,,lincRNA,chr1
Gm28826,35610.0,lincRNA,chr1
Tmeff2,286623.0,,
Gm28320,2272.0,,
Gm29325,2527.0,,
9330175M20Rik,115393.0,,
Nabp1,12563.0,,
Gm17767,89632.0,lincRNA,chr1
Gm28055,50619.0,,
Myo1b,166306.0,protein_coding,chr1
Stat4,120041.0,,
Stat1,42425.0,,
Gls,69784.0,,
Nab1,43385.0,,
Gm553,59777.0,,
Mfsd6,71176.0,,
Inpp1,32261.0,,
Hibch,76057.0,,
1700019D03Rik,97855.0,,
1700019A02Rik,29059.0,,
Pms1,107831.0,,
Ormdl1,13214.0,,
Osgepl1,12719.0,,
Asnsd1,8135.0,,
Dnah7a,309778.0,,
Hecw2,388292.0,protein_coding,chr1
Ccdc150,118044.0,,
Gtf3c3,42967.0,,
Pgap1,84690.0,,
Ankrd44,281047.0,,
4930444A19Rik,85795.0,,
Sf3b1,42312.0,,
Coq10b,19932.0,,
Hspd1,10408.0,,
Hspe1,3175.0,,
Mob4,23668.0,,
Mars2,11293.0,,
Plcl1,348364.0,,
Satb2,184669.0,protein_coding,chr1
9130024F11Rik,78672.0,,
1700066M21Rik,7803.0,,
Tyw5,18864.0,,
Spats2l,174232.0,,
Kctd18,63855.0,,
Aox4,58200.0,,
Bzw1,14455.0,,
Clk1,13877.0,,
Ppil3,14492.0,,
Nif3l1,36665.0,,
Orc2,42338.0,,
Gm15834,18082.0,,
Fam126b,63517.0,,
Ndufb3,9580.0,,
Cflar,47376.0,protein_coding,chr1
Trak2,72981.0,,
Stradb,22193.0,,
Tmem237,19818.0,,
Mpp4,42454.0,,
Als2,74305.0,,
Fzd7,4531.0,,
Sumo1,84276.0,protein_coding,chr1
Nop58,34073.0,,
Bmpr2,115614.0,,
Fam117b,72340.0,,
Ica1l,60694.0,,
Wdr12,28860.0,,
Carf,55706.0,,
Nbeal1,157729.0,,
Cyp20a1,44737.0,,
Abi2,71539.0,protein_coding,chr1
Raph1,84812.0,,
Ctla4,28832.0,,
Pard3b,1003460.0,protein_coding,chr1
Nrp2,115410.0,,
Ino80d,156249.0,,
Ino80dos,45212.0,,
Gm20342,9719.0,,
Ndufs1,33237.0,,
Eef1b2,3661.0,,
Gpr1,31852.0,,
Zdbf2,41311.0,,
Adam23,150385.0,,
Mdh1b,31499.0,,
Fastkd2,24041.0,,
4933402D24Rik,14360.0,,
Klf7,92835.0,protein_coding,chr1
Gm13748,12128.0,,
Creb1,71903.0,,
Mettl21a,10769.0,,
Ccnyl1,35189.0,,
Plekhm3,170841.0,,
D630023F18Rik,17929.0,,
Idh1,27884.0,,
Pikfyve,92012.0,,
Pth2r,107188.0,,
Map2,267310.0,protein_coding,chr1
Gm10558,6520.0,antisense,chr1
Unc80,230781.0,,
Rpe,18974.0,,
Kansl1l,98314.0,protein_coding,chr1
Lancl1,38355.0,,
Erbb4,1075873.0,protein_coding,chr1
Ikzf2,156031.0,,
Spag16,898162.0,protein_coding,chr1
Vwc2l,159682.0,protein_coding,chr1
Atic,22481.0,,
Mreg,52865.0,,
Pecr,25147.0,,
Tmem169,18735.0,,
Xrcc5,87525.0,,
March4,109818.0,,
Smarcal1,49883.0,,
Rpl37a,2523.0,,
Igfbp5,16952.0,,
Arpc2,32125.0,,
Aamp,4898.0,,
Pnkd,68764.0,,
Tmbim1,17375.0,,
Gm29358,3264.0,,
Catip,7213.0,,
Usp37,108773.0,,
Plcd4,24906.0,,
Zfp142,23119.0,,
Bcs1l,4154.0,,
Rnf25,7649.0,,
Stk36,35449.0,,
Ttll4,41985.0,,
Gm16582,29058.0,,
Cdk5r2,2798.0,,
Nhej1,158061.0,,
Cnppd1,8157.0,,
Zfand2b,2983.0,,
Abcb6,8675.0,,
Atg9a,11336.0,protein_coding,chr1
Ankzf1,7236.0,protein_coding,chr1
Glb1l,12577.0,,
Stk16,4768.0,,
Tuba4a,5637.0,,
Dnajb2,9286.0,,
Ptprn,17475.0,,
Gm28294,5105.0,,
Resp18,6216.0,,
Dnpep,10094.0,,
Speg,57023.0,protein_coding,chr1
Gmppa,7249.0,,
Asic4,23907.0,,
Chpf,4738.0,,
Obsl1,27142.0,,
Tmem198,6173.0,,
Inha,3289.0,,
Stk11ip,15806.0,,
Slc4a3,15906.0,,
Gm29069,107730.0,,
Epha4,147903.0,,
Sgpp2,109944.0,,
Farsb,70922.0,protein_coding,chr1
Acsl3,49918.0,,
Utp14b,13474.0,,
Scg2,5451.0,,
Ap1s3,65096.0,,
Wdfy1,73881.0,,
Mrpl44,5427.0,,
Serpine2,66983.0,,
Cul3,75557.0,,
Dock10,257454.0,,
Nyap2,264814.0,,
Irs1,58315.0,,
Rhbdd1,128914.0,,
Mff,27504.0,,
Gm28941,1016.0,,
Agfg1,61699.0,protein_coding,chr1
Sphkap,154061.0,,
4933436I20Rik,252094.0,lincRNA,chr1
Pid1,327884.0,,
Dner,326382.0,protein_coding,chr1
Trip12,119327.0,,
Fbxo36,60646.0,,
Slc16a14,29236.0,,
Cab39,58135.0,,
Itm2c,14394.0,,
4933407L21Rik,12141.0,,
2810459M11Rik,9593.0,,
Psmd1,74764.0,,
Htr2b,12944.0,,
Armc9,123504.0,,
Ncl,14681.0,,
C130036L24Rik,14217.0,,
Ptma,3986.0,,
Pde6d,39635.0,,
Cops7b,26471.0,,
Dis3l2,346287.0,protein_coding,chr1
Gm28375,128209.0,antisense,chr1
Eif4e2,26574.0,,
Gigyf2,123798.0,,
Kcnj13,8366.0,,
Ngef,97036.0,,
Neu2,87956.0,,
Inpp5d,100195.0,,
Atg16l1,36558.0,,
Sag,41478.0,,
Dgkd,91893.0,,
Usp40,63432.0,,
Hjurp,15162.0,,
Sh3bp4,84653.0,protein_coding,chr1
Agap1,442811.0,protein_coding,chr1
4933400F21Rik,33379.0,,
Iqca,111269.0,,
Ackr3,12771.0,,
Cops8,10360.0,,
Lrrfip1,130207.0,,
Ramp1,45374.0,,
Ube2f,40033.0,,
Scly,22737.0,,
Ilkap,24954.0,,
Hes6,2555.0,,
Per2,43342.0,,
Traf3ip1,34660.0,,
Asb1,19045.0,,
Twist2,46567.0,,
Hdac4,266920.0,,
Ndufa10,34850.0,,
Gm29481,16938.0,,
Gpc1,29134.0,,
Gm29480,6594.0,,
Ankmy1,43103.0,,
5033417F24Rik,2386.0,,
Rnpepl1,13601.0,,
9430060I03Rik,17064.0,,
Capn10,13565.0,,
Gpr35,35526.0,,
Kif1a,86487.0,,
Sned1,65224.0,,
Mterf4,6704.0,,
Gm28535,11345.0,,
Pask,34712.0,,
Ppp1r7,30635.0,,
Hdlbp,72875.0,,
Sept2,31018.0,protein_coding,chr1
Farp2,109897.0,protein_coding,chr1
Stk25,38908.0,,
Bok,10104.0,,
Thap4,52929.0,,
Gm10550,19968.0,,
Atg4b,39110.0,,
Dtymk,9358.0,,
Ing5,18136.0,,
D2hgdh,27439.0,,
Fam174a,21661.0,,
St8sia4,79889.0,,
Slco4c1,55901.0,,
Panct2,36670.0,antisense,chr1
D1Ertd622e,55756.0,,
Ppip5k2,64363.0,,
Gin1,23537.0,,
Pam,300532.0,protein_coding,chr1
B230216N24Rik,26564.0,processed_transcript,chr1
Cntnap5b,713177.0,,
Cdh20,226952.0,,
Gm28403,186879.0,,
Pign,145255.0,,
Tnfrsf11a,67263.0,,
Gm7160,10932.0,,
Zcchc2,43668.0,,
Phlpp1,222498.0,protein_coding,chr1
Bcl2,176096.0,,
Kdsr,39268.0,,
Vps4b,32657.0,,
Serpinb8,20478.0,,
Cdh7,157726.0,,
Gm29088,60955.0,,
Dsel,6216.0,,
Cntnap5a,902567.0,,
Tsn,16961.0,,
Nifk,11983.0,,
Clasp1,223620.0,,
Ralb,34489.0,,
Tmem185b,2823.0,,
Ptpn4,185146.0,,
Tmem177,5318.0,,
Dbi,7798.0,protein_coding,chr1
3110009E18Rik,67002.0,protein_coding,chr1
Insig2,28236.0,,
Ccdc93,75411.0,,
Ddx18,14154.0,,
Dpp10,724088.0,protein_coding,chr1
Actr3,42822.0,,
Slc35f5,35225.0,,
Lypd1,45479.0,,
Nckap5,917179.0,protein_coding,chr1
Mgat5,283321.0,,
Tmem163,193002.0,,
2900009J06Rik,20476.0,,
Ccnt2,33897.0,,
Map3k19,40240.0,,
Rab3gap1,75095.0,,
Zranb3,148863.0,,
R3hdm1,134435.0,,
Ubxn4,35414.0,,
Mcm6,28074.0,,
Dars,53661.0,,
Thsd7b,945976.0,protein_coding,chr1
Cd55,23717.0,,
Gm16083,94499.0,,
Pfkfb2,40071.0,,
Yod1,7031.0,,
AA986860,12646.0,,
Mapkapk2,44126.0,,
Dyrk3,10885.0,,
Eif2d,34477.0,,
Rassf5,68848.0,,
Srgap2,242101.0,,
Gm29488,2401.0,,
Slc41a1,21372.0,,
Nucks1,25787.0,,
Elk4,25005.0,,
Cdk18,27447.0,,
Lemd1,67796.0,,
Tmcc2,34966.0,,
Dstyk,49403.0,,
6030442K20Rik,10631.0,,
Rbbp5,28294.0,,
Cntn2,33829.0,,
Nfasc,177107.0,,
Gm10538,3471.0,,
Lrrn2,59732.0,,
Mdm4,71077.0,,
Pik3c2b,63020.0,protein_coding,chr1
Ppp1r15b,8640.0,,
Plekha6,139225.0,protein_coding,chr1
Gm19461,19410.0,,
Etnk2,16764.0,,
Snrpe,6420.0,,
Zc3h11a,41513.5,,
Atp2b4,101584.0,,
Btg2,3950.0,,
Adora1,36208.0,,
Ppfia4,36145.0,,
Tmem183a,15882.0,,
Cyb5r1,6181.0,protein_coding,chr1
Adipor1,17973.0,,
Klhl12,35487.0,,
Rabif,14126.0,,
Kdm5b,75114.0,,
Ppp1r12b,201284.0,protein_coding,chr1
Arl8a,9445.0,,
Gm15445,,,
Rnpep,21372.0,,
Timm17a,18565.0,,
Shisa4,4180.0,,
Ipo9,48187.0,,
Nav1,253525.0,,
Gm4793,15175.0,,
Csrp1,32171.0,,
Phlda3,3017.0,,
Igfn1,52764.0,,
Tmem9,27192.0,,
Kif21b,46609.0,,
Gm26781,14999.0,,
Camsap2,77981.0,,
Ddx59,24887.0,,
Zfp281,5152.0,,
Gm19705,20035.0,,
Gm4258,101789.0,processed_transcript,chr1
Gm26936,40851.0,,
A430106G13Rik,3387.0,,
Nek7,137266.0,,
2310009B15Rik,4869.0,,
Dennd1b,215525.0,,
Zbtb41,30717.0,,
Kcnt2,365909.0,protein_coding,chr1
Cdc73,104093.0,,
B3galt2,13950.0,,
Glrx2,33338.0,,
Uchl5,30194.0,,
Gm29170,3665.0,,
Rgs2,4823.0,,
Rgs13,38718.0,,
Gm29514,75624.0,,
Brinp3,407712.0,protein_coding,chr1
Gm15584,31865.0,,
Pla2g4a,131672.0,protein_coding,chr1
Ptgs2os,25090.0,processed_transcript,chr1
Ptgs2,8196.0,,
Tpr,57097.0,,
Hmcn1,430911.0,,
Gm10138,5627.0,,
Ivns1abp,19945.0,,
Swt1,60756.0,,
Trmt1l,29619.0,,
Rnf2,42951.0,,
Edem3,66680.0,,
1700025G04Rik,237722.0,,
Tsen15,15953.0,,
Colgalt2,110865.0,,
Rgl1,249591.0,,
Gm28792,20618.0,,
Apobec4,6993.0,,
Arpc5,9055.0,,
Ncf2,36797.0,,
Smg7,65651.0,,
Gm28791,1778.0,,
Nmnat2,164268.0,,
Gm28960,23026.0,,
Lamc2,63691.0,,
Lamc1,113864.0,,
Shcbp1l,27412.0,,
Dhx9,31902.0,,
Npl,47030.0,,
Rgs8,47298.0,protein_coding,chr1
Rnasel,14795.0,,
Rgsl1,64761.0,,
Teddm2,50686.0,,
Glul,9779.0,,
Cacna1e,493770.0,protein_coding,chr1
Gm29282,45847.0,,
Ier5,3275.0,,
Stx6,49541.0,,
Xpr1,141714.0,,
Acbd6,133210.0,,
Qsox1,36860.0,,
Cep350,128291.0,,
Tor1aip1,31881.0,,
Tor1aip2,33458.0,,
Tdrd5,48368.0,,
Soat1,49806.0,,
Abl2,90782.0,,
Tor3a,20739.0,,
Fam20b,40554.0,,
Ralgps2,135460.0,,
Angptl1,22516.0,,
Rasal2,277413.0,,
Brinp2,111057.0,,
Astn1,329508.0,,
Pappa2,268763.0,,
Tnr,407960.0,,
Mrps14,6955.0,,
Cacybp,10508.0,,
Rabgap1l,574037.0,protein_coding,chr1
Rc3h1,68560.0,,
Serpinc1,27278.0,,
Zbtb37,31927.0,,
Gas5,4117.0,,
Dars2,30057.0,,
Klhl20,43136.0,,
Ankrd45,27807.0,,
Prdx6,11107.0,,
Suco,60568.0,,
4930558K02Rik,37550.0,,
Pigc,4249.0,,
Dnm3,495581.0,,
Vamp4,28569.0,,
Prrc2c,69831.0,,
Gorab,18761.0,,
Kifap3,137526.0,,
Scyl3,26026.0,,
BC055324,48803.0,,
Slc19a2,16339.0,,
Ccdc181,12262.0,,
Blzf1,17689.0,,
Nme7,133604.0,protein_coding,chr1
Atp1b1,21246.0,,
Tiprl,24710.0,,
Dcaf6,131777.0,,
Mpc2,20577.0,,
Adcy10,91591.0,,
Mpzl1,42298.0,,
Creg1,11562.0,,
Pou2f1,137524.0,,
Ildr2,62684.0,,
Tada1,14524.0,,
Pogk,25241.0,,
Gm16701,14125.5,,
Fam78b,89885.0,,
Uck2,62437.0,,
Tmco1,25600.0,,
Aldh9a1,18541.0,,
Mgst3,21875.0,,
Pbx1,312906.0,,
Rgs4,6165.0,,
Hsd17b7,19706.0,,
Uap1,33019.0,,
Uhmk1,21977.0,,
Gm7694,8133.0,,
Nos1ap,287193.0,,
Atf6,163097.0,,
Gm9929,13076.0,,
Dusp12,12042.0,,
Sdhc,23438.0,,
Tomm40l,6503.0,,
Ndufs2,16535.0,,
B4galt3,6568.0,,
Ppox,5196.0,,
Usp21,6046.0,,
Ufc1,6461.0,,
Dedd,13186.0,,
Nit1,7638.0,,
Pfdn2,13584.0,,
Klhdc9,2352.0,,
Usf1,7829.0,,
Alyref2,1272.0,,
Vangl2,27484.0,,
Ncstn,16782.0,,
Copa,39801.0,,
Pex19,9738.0,,
Dcaf8,48921.0,,
Pea15a,10076.0,,
Igsf8,58200.0,,
Atp1a2,26355.0,,
Kcnj9,8817.0,,
Pigm,7553.0,,
Cfap45,25069.0,,
Dusp23,2198.0,,
Ackr1,1864.0,,
Cadm3,34437.0,,
Aim2,115161.0,,
Fmn2,320904.0,,
Grem2,88034.0,,
Rgs7,433413.0,protein_coding,chr1
Fh1,25261.0,,
Kmo,41735.0,,
Chml,10664.0,,
Pld5,313006.0,protein_coding,chr1
Cep170,80414.0,,
Sdccag8,205777.0,protein_coding,chr1
Akt3,238130.0,,
Gm26801,14932.0,,
Zbtb18,8413.0,,
Adss,33549.0,,
Desi2,69884.0,,
B230369F24Rik,5221.0,,
Cox20,3563.0,,
Hnrnpu,16689.0,,
Efcab2,78428.0,,
Kif26b,410075.0,protein_coding,chr1
Smyd3,566081.0,,
Tfb2m,18212.0,,
Cnst,81108.0,,
Sccpdh,18979.0,,
Ahctf1,58786.0,,
Cdc42bpa,205131.0,protein_coding,chr1
Psen2,36434.0,,
Itpkb,94317.0,,
Parp1,32330.0,,
Lin9,49544.0,,
Acbd3,28161.0,,
H3f3a,13111.0,,
H3f3aos,3083.0,,
Sde2,16986.0,,
Pycr2,3795.0,,
Ephx1,44694.0,,
Nvl,57066.0,,
Cnih4,24301.0,,
Wdr26,38773.0,,
A430110L20Rik,2512.0,,
Cnih3,108013.0,,
Dnah14,239215.0,,
Lbr,27711.0,,
Enah,123606.0,,
Srp9,7670.0,,
Degs1,7032.0,protein_coding,chr1
Fbxo28,28527.0,,
Trp53bp2,53260.0,,
Capn2,50348.0,,
Susd4,132731.0,protein_coding,chr1
Disp1,135256.0,,
Brox,20917.0,,
Aida,28886.0,,
Mia3,42828.0,,
Taf1a,21217.0,,
Marc2,33383.0,,
Mark1,102781.0,,
Rab3gap2,82642.0,,
Iars2,44670.0,,
Bpnt1,25628.0,,
Eprs,65316.0,,
Slc30a10,13914.0,,
Lyplal1,29579.0,,
Tgfb2,83197.0,,
Gm29491,1338.0,,
Rrp15,28380.0,,
A430105J06Rik,3525.0,,
Spata17,170817.0,,
Gpatch2,136196.0,,
Esrrg,606094.0,,
Kctd3,36746.0,,
Kcnk2,194343.0,,
Smyd2,41871.0,,
Rps6kc1,211568.0,protein_coding,chr1
Angel2,21850.0,,
Tatdn3,17106.0,,
D730003I15Rik,1686.0,,
Nenf,11405.0,,
Ppp2r5a,51297.0,,
Dtl,38188.0,,
Ints7,48052.0,,
Lpgat1,66421.0,,
1700034H15Rik,21397.0,,
Slc30a1,6480.0,,
Traf5,95354.0,,
Gm26879,7273.0,,
Rcor3,39516.0,,
Gm10516,14130.0,,
Kcnh1,319385.0,protein_coding,chr1
Hhat,274512.0,,
Sertad4,11268.0,,
Syt14,144542.0,,
Camk1g,23952.0,,
Plxna2,198651.0,,
Cd34,22460.0,,
Gm16897,21201.0,,
A330023F24Rik,61529.0,,
Cd46,55423.0,,
Cr1l,34204.0,,
Fam171a1,113582.0,,
Nmt2,44665.0,protein_coding,chr2
Rpp38,3694.0,,
Olah,55228.0,,
Meig1,13605.0,,
Dclre1c,39999.0,,
Suv39h2,19216.0,,
Gm13184,5933.0,,
Hspa14,23964.0,,
Fam107b,211654.0,,
Frmd4a,596326.0,,
1700080N15Rik,9078.0,,
Gm13187,13572.0,,
Prpf18,30055.0,,
Bend7,84311.0,,
Sephs1,28993.0,,
Phyh,19711.0,,
Mcm10,23077.0,,
Optn,43409.0,,
4930551O13Rik,3853.0,,
Ccdc3,93102.0,,
Camk1d,421058.0,protein_coding,chr2
Cdc123,50870.0,,
Nudt5,26876.0,,
Sec61a2,24445.0,,
Dhtkd1,46677.0,,
Upf2,105234.0,,
Usp6nl,123723.0,,
Celf2,969869.0,protein_coding,chr2
Gm13389,2654.0,,
Gm10855,2540.0,,
Gm10115,1227.0,,
Taf3,134044.0,,
Atp5c1,24494.0,,
Kin,12213.0,,
Pfkfb3,82644.0,,
Rbm17,18716.0,,
Il15ra,29027.0,protein_coding,chr2
Ankrd16,12453.0,,
Itga8,195290.0,,
Pter,79414.0,,
C1ql3,8349.0,protein_coding,chr2
Rsu1,194594.0,,
Gm13270,54226.0,,
Cubn,215475.0,,
Trdmt1,35654.0,,
Stam,75536.0,,
Cacnb2,384820.0,,
Gm13269,26652.0,,
Nsun6,59938.0,,
Arl5b,33061.0,,
Plxdc2,399535.0,,
Nebl,387555.0,,
Skida1,8375.0,,
Mllt10,157151.0,,
Dnajc1,197176.0,,
Commd3,3847.0,,
Bmi1,9611.0,,
Spag6,56381.0,,
Gm20539,18147.0,,
Pip4k2a,155871.0,,
4930447M23Rik,6733.0,,
Msrb2,23536.0,,
Otud1,2831.0,,
Etl4,900933.0,protein_coding,chr2
Gm17171,23853.0,,
Gm13362,3859.0,,
Arhgap21,120962.0,,
Enkur,24634.0,,
Thnsl1,9285.0,,
Gpr158,463005.0,,
Pdss1,44744.0,,
Abi1,100168.0,,
Acbd5,47391.0,,
Mastl,40418.0,,
Yme1l1,42891.0,,
4931423N10Rik,59653.0,,
Spopl,65886.0,,
Hnmt,46484.0,protein_coding,chr2
Cacna1b,159265.0,protein_coding,chr2
Ehmt1,129686.0,,
Arrdc1,9900.0,protein_coding,chr2
Zmynd19,12283.0,,
Dph7,9763.0,,
Mrpl41,,,
Pnpla7,78024.0,protein_coding,chr2
Nsmf,8526.0,protein_coding,chr2
Nelfb,11777.0,,
Tubb4b,2542.0,,
Rnf208,2007.0,,
Ndor1,10862.0,,
Tmem203,,,
Ssna1,1399.0,,
Anapc2,13437.0,,
Grin1,28006.0,,
Grin1os,7705.0,,
Man1b1,19874.0,,
Dpp7,4083.0,,
Npdc1,10143.0,,
Abca2,19837.0,,
Ptgds,3337.0,,
Fbxw5,4721.0,,
Traf2,28958.0,,
Edf1,4235.0,,
Rabl6,25503.0,,
Tmem141,1938.0,,
Bmyc,,,
Kcnt1,54539.0,,
Camsap1,56444.0,,
Ubac1,23204.0,,
Nacc2,67685.0,,
Qsox2,28888.0,,
Gpsm1,32722.0,,
Dnlz,3989.0,,
Gm13562,19307.0,,
Snapc4,17888.0,,
Gm13563,7492.0,,
Pmpca,7783.0,,
Inpp5e,12954.0,,
Sec16a,35785.0,,
0610009E02Rik,13694.0,,
Egfl7,13106.0,,
Surf6,14251.0,,
Med22,5415.0,,
Rpl7a,2554.0,,
Surf1,3149.0,,
Surf2,3816.0,,
Surf4,13888.0,,
Rexo4,10823.0,,
Cacfd1,11163.0,,
Slc2a6,6635.0,,
Fam163b,32111.0,,
Brd3,62083.0,protein_coding,chr2
Wdr5,21378.0,,
Rxra,86517.0,,
Col5a1,153089.0,,
Olfm1,37744.0,,
Ppp1r26,8708.0,,
Mrps2,3112.0,,
Ralgds,39956.0,,
Gtf3c5,17440.0,,
Tsc1,49939.0,,
Ak8,113001.0,,
Gtf3c4,18061.0,,
Ddx31,65165.0,,
Ttf1,27394.0,,
Setx,58290.0,,
Ntng2,58464.0,protein_coding,chr2
6530402F18Rik,7899.0,,
Med27,177974.0,,
Gm13402,46617.0,,
Rapgef1,121258.0,protein_coding,chr2
Trub2,27278.0,,
Coq4,10442.0,,
Slc27a4,14888.0,,
Urm1,24927.0,,
Cercam,13676.0,protein_coding,chr2
Odf2,42525.0,,
Gle1,24945.0,,
Sptan1,65891.0,,
Wdr34,17335.0,,
Set,15199.0,,
Zdhhc12,2704.0,,
Zer1,27302.0,,
Tbc1d13,18267.0,,
Endog,2576.0,,
Lrrc8a,26075.0,,
Phyhd1,15946.0,,
Dolk,2103.0,,
Nup188,57869.0,,
Gm14471,17919.0,,
Sh3glb2,14528.0,,
Dolpp1,8275.0,,
Crat,15342.0,,
Ier5l,2682.0,,
Cstad,13903.0,,
9330198N18Rik,59555.0,lincRNA,chr2
Ntmt1,15207.0,,
Asb6,7236.0,protein_coding,chr2
Ptges,40392.0,,
Tor1b,6056.0,,
Tor1a,7306.0,,
BC005624,10024.0,,
Usp20,41307.0,,
Fnbp1,115802.0,,
D330023K18Rik,5834.0,,
Gpr107,66459.0,,
Ncs1,50166.0,,
Fubp3,44875.0,,
Exosc2,10634.0,,
Gm13427,12105.0,,
Abl1,115851.0,,
Nup214,79539.0,protein_coding,chr2
Fam78a,34802.0,,
Prrc2b,83455.0,protein_coding,chr2
Pomt1,18415.0,,
Uck1,5157.0,,
Swi5,9259.0,,
Golga2,20537.0,,
Dnm1,44867.0,protein_coding,chr2
Ciz1,28643.0,,
1110008P14Rik,4841.0,,
Ptges2,9876.0,,
Slc25a25,36958.0,,
Fam102a,34424.0,,
Dpm2,2721.0,,
St6galnac4,12603.0,,
St6galnac6,21097.0,,
Ak1,13300.0,,
Fpgs,21536.0,,
Cdk9,7292.0,,
Sh2d3c,34457.0,,
Ttc16,18607.0,,
Tor2a,5010.0,,
Stxbp1,59643.0,protein_coding,chr2
Gm13524,1982.0,,
Fam129b,49140.0,,
Lrsam1,36398.0,,
Rpl12,3786.0,,
Slc2a8,9093.0,,
Garnl3,145430.0,,
Ralgps1,238069.0,protein_coding,chr2
Gm13528,3979.0,,
Angptl2,31648.0,,
Zbtb34,25216.0,,
Zbtb43,18272.0,,
Mvb12b,157993.0,,
Pbx3,201685.0,,
Mapkap1,218179.0,,
Gapvd1,80638.0,,
Hspa5,5577.0,,
Rabepk,22356.0,,
Fbxw2,21797.0,,
Psmd5,25234.0,,
Cntrl,69330.0,,
Rab14,20915.0,,
Gsn,51512.0,,
Gm13446,9164.0,,
Dab2ip,172728.0,protein_coding,chr2
