chr,start,end,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_name,gene_type
chr1,38448923,38448957,0.62,0.54,0.4,chr1,38175326,38666955,Aff3,protein_coding
chr1,38554620,38554756,0.59,0.49,0.38,chr1,38175326,38666955,Aff3,protein_coding
chr1,39235963,39236337,0.76,0.65,0.51,chr1,39191731,39365236,Npas2,protein_coding
chr1,39261262,39261359,0.65,0.42,0.3,chr1,39191731,39365236,Npas2,protein_coding
chr1,39676335,39676384,0.41,0.35,0.16,chr1,39663301,39722997,Rfx8,protein_coding
chr1,39687729,39687738,0.3,0.51,0.46,chr1,39663301,39722997,Rfx8,protein_coding
chr1,43109909,43109958,0.75,0.55,0.49,chr1,43096710,43117947,AI597479,protein_coding
chr1,43168685,43168855,0.62,0.48,0.42,chr1,43121074,43198984,Fhl2,protein_coding
chr1,43523693,43523780,0.31,0.52,0.4,chr1,43442579,43572515,Nck2,protein_coding
chr1,43953961,43953966,0.8,0.66,0.55,chr1,43931647,44005000,Tpp2,protein_coding
chr1,44167232,44167311,0.85,0.7,0.62,chr1,44145744,44183260,Ercc5,protein_coding
chr1,51091458,51091574,0.72,0.56,0.51,chr1,50898647,51189270,Tmeff2,protein_coding
chr1,51118031,51118062,0.39,0.25,0.16,chr1,50898647,51189270,Tmeff2,protein_coding
chr1,51120975,51121087,0.47,0.36,0.26,chr1,50898647,51189270,Tmeff2,protein_coding
chr1,52156404,52156442,0.54,0.44,0.32,chr1,52075261,52158087,Gm28177,processed_transcript
chr1,52156404,52156442,0.54,0.44,0.32,chr1,52117440,52163865,Stat1,protein_coding
chr1,52799433,52799707,0.64,0.44,0.39,chr1,52783427,52819688,Inpp1,protein_coding
chr1,52802625,52802640,0.46,0.25,0.19,chr1,52783427,52819688,Inpp1,protein_coding
chr1,53409524,53409546,0.79,0.64,0.58,chr1,53395006,53708784,Dnah7a,protein_coding
chr1,53838719,53838729,0.71,0.57,0.47,chr1,53804876,54197168,Hecw2,protein_coding
chr1,54853398,54853465,0.43,0.65,0.66,chr1,54643340,54928387,Ankrd44,protein_coding
chr1,55427403,55427592,0.5,0.48,0.3,chr1,55403921,55756285,Plcl1,protein_coding
chr1,56891889,56891899,0.32,0.51,0.53,chr1,56791981,56980650,Satb2,protein_coding
chr1,57820038,57820072,0.8,0.66,0.55,chr1,57772162,57950394,Spats2l,protein_coding
chr1,58301082,58301090,0.56,0.46,0.35,chr1,58252117,58317656,Gm15759,antisense
chr1,58301082,58301090,0.56,0.46,0.35,chr1,58276326,58382259,Aox2,protein_coding
chr1,58359514,58359535,0.71,0.58,0.43,chr1,58276326,58382259,Aox2,protein_coding
chr1,58663471,58663488,0.83,0.7,0.62,chr1,58644903,58697989,Als2cr12,protein_coding
chr1,58742856,58742925,0.59,0.5,0.38,chr1,58709508,58760884,Cflar,protein_coding
chr1,58856985,58857002,0.48,0.32,0.27,chr1,58848085,58894792,Gm28802,unprocessed_pseudogene
chr1,58910019,58910029,0.54,0.43,0.32,chr1,58898449,58975430,Trak2,protein_coding
chr1,58937279,58937344,0.72,0.55,0.45,chr1,58898449,58975430,Trak2,protein_coding
chr1,58937530,58937545,0.55,0.35,0.29,chr1,58898449,58975430,Trak2,protein_coding
chr1,59493266,59493409,0.72,0.61,0.48,chr1,59486480,59494605,Gm26813,lincRNA
chr1,60021076,60021532,0.26,0.47,0.29,chr1,59980490,60045184,Ica1l,protein_coding
chr1,61793461,61793546,0.57,0.42,0.37,chr1,61765415,61853540,Pard3bos1,antisense
chr1,61793461,61793546,0.57,0.42,0.37,chr1,61636824,62644284,Pard3b,protein_coding
chr1,63061157,63061216,0.47,0.63,0.42,chr1,62956418,63116667,Ino80d,protein_coding
chr1,63165406,63165447,0.75,0.61,0.53,chr1,63141596,63178833,Ndufs1,protein_coding
chr1,64040365,64040368,0.59,0.34,0.28,chr1,64027447,64124282,Klf7,protein_coding
chr1,64620136,64620360,0.56,0.38,0.34,chr1,64615784,64628033,Gm28982,lincRNA
chr1,64621163,64621207,0.43,0.3,0.23,chr1,64615784,64628033,Gm28982,lincRNA
chr1,64624001,64624134,0.5,0.41,0.29,chr1,64615784,64628033,Gm28982,lincRNA
chr1,64701208,64701277,0.73,0.5,0.4,chr1,64688455,64727644,Ccnyl1,protein_coding
chr1,64716986,64717000,0.51,0.4,0.31,chr1,64688455,64727644,Ccnyl1,protein_coding
chr1,64894365,64894498,0.78,0.59,0.46,chr1,64783983,64958824,Plekhm3,protein_coding
chr1,66434947,66435086,0.34,0.22,0.12,chr1,66434082,66438232,Gm25411,snRNA
chr1,66434947,66435086,0.34,0.22,0.12,chr1,66173273,66444583,Map2,protein_coding
chr1,66586016,66586161,0.7,0.57,0.47,chr1,66466367,66701866,Unc80,protein_coding
chr1,67033437,67033596,0.62,0.44,0.38,chr1,66998517,67040872,Lancl1,protein_coding
chr1,69379860,69379935,0.76,0.65,0.54,chr1,69375321,69380071,Pced1c-ps,processed_pseudogene
chr1,70078934,70078991,0.78,0.67,0.55,chr1,69824970,70727132,Spag16,protein_coding
chr1,70621999,70622138,0.65,0.56,0.43,chr1,69824970,70727132,Spag16,protein_coding
chr1,71982586,71982703,0.69,0.8,0.54,chr1,71981681,72040731,4930556G22Rik,lincRNA
chr1,71982586,71982703,0.69,0.8,0.54,chr1,71956998,72007195,4933417E11Rik,lincRNA
chr1,72336919,72337062,0.84,0.72,0.55,chr1,72305421,72396952,Xrcc5,protein_coding
chr1,72365011,72365041,0.74,0.62,0.49,chr1,72305421,72396952,Xrcc5,protein_coding
chr1,72440485,72440567,0.55,0.4,0.31,chr1,72425112,72538930,March4,protein_coding
chr1,72449942,72449974,0.38,0.27,0.18,chr1,72425112,72538930,March4,protein_coding
chr1,72518213,72518223,0.58,0.47,0.37,chr1,72425112,72538930,March4,protein_coding
chr1,72612280,72612495,0.78,0.64,0.55,chr1,72581251,72635134,Smarcal1,protein_coding
chr1,72852084,72852096,0.45,0.66,0.56,chr1,72822503,72854474,Igfbp2,protein_coding
chr1,73017359,73017562,0.68,0.78,0.57,chr1,73013074,73017909,Tnp1,protein_coding
chr1,73017359,73017562,0.68,0.78,0.57,chr1,72982844,73027507,1700027A15Rik,antisense
chr1,73827681,73827688,0.51,0.4,0.31,chr1,73616088,73866466,6030407O03Rik,lincRNA
chr1,73827681,73827688,0.51,0.4,0.31,chr1,73748321,73843917,Gm29183,lincRNA
chr1,74030120,74030164,0.54,0.36,0.26,chr1,73908231,74126449,Tns1,protein_coding
chr1,74070437,74070515,0.69,0.56,0.45,chr1,73908231,74126449,Tns1,protein_coding
chr1,74095777,74095985,0.55,0.45,0.34,chr1,73908231,74126449,Tns1,protein_coding
chr1,74292933,74292943,0.79,0.65,0.58,chr1,74286247,74307622,Tmbim1,protein_coding
chr1,74292933,74292943,0.79,0.65,0.58,chr1,74282930,74355694,Pnkd,protein_coding
chr1,74570474,74570520,0.52,0.39,0.29,chr1,74563127,74590246,Zfp142,protein_coding
chr1,75133426,75133749,0.44,0.33,0.23,chr1,75123541,75135890,Slc23a3,protein_coding
chr1,75133426,75133749,0.44,0.33,0.23,chr1,75132554,75144711,Cnppd1,protein_coding
chr1,75184496,75184503,0.78,0.66,0.58,chr1,75169731,75187146,Gm29253,processed_transcript
chr1,75184496,75184503,0.78,0.66,0.58,chr1,75178860,75194196,Atg9a,protein_coding
chr1,75244221,75244383,0.75,0.64,0.5,chr1,75234406,75247692,Dnajb2,protein_coding
chr1,75384281,75384450,0.42,0.31,0.22,chr1,75373297,75434320,Speg,protein_coding
chr1,75384869,75384919,0.47,0.34,0.27,chr1,75373297,75434320,Speg,protein_coding
chr1,75384944,75384965,0.53,0.39,0.25,chr1,75373297,75434320,Speg,protein_coding
chr1,75385034,75385098,0.58,0.43,0.3,chr1,75373297,75434320,Speg,protein_coding
chr1,75385124,75385145,0.75,0.58,0.54,chr1,75373297,75434320,Speg,protein_coding
chr1,75385154,75385179,0.52,0.35,0.21,chr1,75373297,75434320,Speg,protein_coding
chr1,75401633,75401739,0.74,0.62,0.53,chr1,75373297,75434320,Speg,protein_coding
chr1,75408416,75408489,0.58,0.48,0.37,chr1,75373297,75434320,Speg,protein_coding
chr1,75427568,75427718,0.66,0.58,0.43,chr1,75373297,75434320,Speg,protein_coding
chr1,76509361,76509373,0.22,0.59,0.57,chr1,76507560,76511643,Mir6343,miRNA
chr1,76509361,76509373,0.22,0.59,0.57,chr1,76418692,76530422,Gm29069,lincRNA
chr1,76958166,76958355,0.79,0.68,0.59,chr1,76888472,77029792,Gm816,lincRNA
chr1,77431741,77431816,0.1,0.32,0.18,chr1,77365185,77517088,Epha4,protein_coding
chr1,78365499,78365619,0.57,0.7,0.79,chr1,78308345,78422289,Sgpp2,protein_coding
chr1,78478022,78478149,0.51,0.4,0.29,chr1,78415975,78490897,Farsb,protein_coding
chr1,78510345,78510357,0.46,0.39,0.68,chr1,78495026,78514158,BC035947,protein_coding
chr1,78510345,78510357,0.46,0.39,0.68,chr1,78508991,78540173,Mogat1,protein_coding
chr1,78966392,78966409,0.55,0.66,0.45,chr1,78965637,78970079,Gm5830,processed_pseudogene
chr1,78966392,78966409,0.55,0.66,0.45,chr1,78789623,79226511,Gm29536,lincRNA
chr1,79144136,79144535,0.79,0.64,0.51,chr1,78789623,79226511,Gm29536,lincRNA
chr1,79432550,79432782,0.66,0.53,0.41,chr1,79432669,79442120,Scg2,protein_coding
chr1,79804944,79805002,0.77,0.61,0.53,chr1,79792197,79863180,Serpine2,protein_coding
chr1,80586949,80586964,0.34,0.55,0.44,chr1,80499073,80760527,Dock10,protein_coding
chr1,80617203,80617229,0.61,0.45,0.28,chr1,80499073,80760527,Dock10,protein_coding
chr1,80740692,80740835,0.68,0.49,0.43,chr1,80499073,80760527,Dock10,protein_coding
chr1,84397229,84397260,0.43,0.52,0.64,chr1,84390503,84397399,RP23-147I4.1,TEC
chr1,84397229,84397260,0.43,0.52,0.64,chr1,84367839,84698221,Dner,protein_coding
chr1,84962252,84962257,0.41,0.3,0.11,chr1,84961669,84966559,Gm15433,processed_pseudogene
chr1,87416458,87416575,0.67,0.5,0.39,chr1,87413255,87417349,Gm23504,snRNA
chr1,87416458,87416575,0.67,0.5,0.39,chr1,87324998,87452796,Gigyf2,protein_coding
chr1,87587955,87588135,0.84,0.72,0.61,chr1,87507889,87599845,Neu2,protein_coding
chr1,87589461,87589483,0.52,0.37,0.25,chr1,87507889,87599845,Neu2,protein_coding
chr1,87590013,87590016,0.68,0.53,0.46,chr1,87507889,87599845,Neu2,protein_coding
chr1,87786329,87786345,0.36,0.23,0.12,chr1,87753870,87794428,Atg16l1,protein_coding
chr1,87786329,87786345,0.36,0.23,0.12,chr1,87782556,87786820,Scarna6,snoRNA
chr1,87936321,87936379,0.62,0.52,0.39,chr1,87851287,87947180,Dgkd,protein_coding
chr1,88423134,88423147,0.57,0.44,0.34,chr1,88404961,88428438,Spp2,protein_coding
chr1,89338756,89338818,0.66,0.52,0.37,chr1,89300719,89360144,Gm28342,lincRNA
chr1,89363407,89363436,0.62,0.5,0.34,chr1,89358342,89408133,C030007H22Rik,lincRNA
chr1,89730911,89731130,0.79,0.63,0.5,chr1,89452806,89899617,Agap1,protein_coding
chr1,89824020,89824047,0.17,0.38,0.35,chr1,89823481,89829525,RP24-78E16.3,TEC
chr1,89824020,89824047,0.17,0.38,0.35,chr1,89452806,89899617,Agap1,protein_coding
chr1,89845223,89845285,0.3,0.51,0.46,chr1,89452806,89899617,Agap1,protein_coding
chr1,90522315,90522391,0.58,0.59,0.39,chr1,90518496,90525297,RP24-393L8.1,TEC
chr1,91290056,91290184,0.66,0.54,0.38,chr1,91248304,91292337,Ube2f,protein_coding
chr1,91356289,91356411,0.52,0.31,0.27,chr1,91349016,91364416,Klhl30,protein_coding
chr1,91437769,91437774,0.66,0.52,0.41,chr1,91413982,91461324,Per2,protein_coding
chr1,91437871,91438083,0.77,0.66,0.55,chr1,91413982,91461324,Per2,protein_coding
chr1,91445500,91445521,0.81,0.69,0.58,chr1,91413982,91461324,Per2,protein_coding
chr1,91942740,91942773,0.67,0.57,0.46,chr1,91926779,92182341,Hdac4,protein_coding
chr1,91959118,91959134,0.45,0.34,0.19,chr1,91926779,92182341,Hdac4,protein_coding
chr1,92052416,92052464,0.6,0.58,0.4,chr1,91926779,92182341,Hdac4,protein_coding
chr1,92439825,92439871,0.58,0.73,0.79,chr1,92437010,92475860,Ndufa10,protein_coding
chr1,93051451,93051471,0.66,0.39,0.33,chr1,93013464,93103951,Kif1a,protein_coding
chr1,93268489,93268503,0.65,0.47,0.44,chr1,93233841,93303065,Sned1,protein_coding
chr1,93327532,93327566,0.63,0.51,0.38,chr1,93306770,93345482,Pask,protein_coding
chr1,93392380,93392391,0.55,0.49,0.35,chr1,93371930,93406303,Ano7,protein_coding
chr1,93691120,93691224,0.61,0.52,0.4,chr1,93683660,93697764,Bok,protein_coding
chr1,93836065,93836156,0.62,0.48,0.41,chr1,93822909,93854348,D2hgdh,protein_coding
chr1,98056289,98056337,0.74,0.57,0.47,chr1,97793114,98097646,Pam,protein_coding
chr1,98056289,98056337,0.74,0.57,0.47,chr1,98029116,98059680,B230216N24Rik,processed_transcript
chr1,105342506,105342566,0.46,0.35,0.25,chr1,105274914,105358710,Rnf152,protein_coding
chr1,106013272,106013392,0.81,0.61,0.5,chr1,105988406,106036074,Zcchc2,protein_coding
chr1,106303359,106303437,0.67,0.57,0.45,chr1,106169752,106396250,Phlpp1,protein_coding
chr1,106743789,106743894,0.41,0.57,0.62,chr1,106718459,106761727,Kdsr,protein_coding
chr1,107384592,107384774,0.46,0.28,0.25,chr1,107383200,107389412,Gm15391,lincRNA
chr1,118335139,118335376,0.53,0.34,0.29,chr1,118319839,118335822,Nifk,protein_coding
chr1,118506804,118507291,0.71,0.54,0.46,chr1,118387058,118614678,Clasp1,protein_coding
chr1,118627213,118627224,0.66,0.51,0.45,chr1,118625945,118687168,Tfcp2l1,protein_coding
chr1,118867882,118868044,0.8,0.67,0.55,chr1,118832132,119055619,Gli2,protein_coding
chr1,120038851,120038867,0.79,0.7,0.58,chr1,120004894,120065536,Sctr,protein_coding
chr1,120074522,120074610,0.6,0.43,0.34,chr1,120065377,120076074,Tmem37,protein_coding
chr1,120136520,120136603,0.65,0.55,0.41,chr1,120119187,120190189,3110009E18Rik,protein_coding
chr1,120236447,120236466,0.76,0.64,0.5,chr1,120188757,120274705,Steap3,protein_coding
chr1,120667513,120667518,0.82,0.66,0.56,chr1,120619740,120692403,2610027F03Rik,lincRNA
chr1,125730466,125730638,0.59,0.47,0.36,chr1,125674995,125875862,Gpr39,protein_coding
chr1,125819326,125819452,0.44,0.25,0.24,chr1,125674995,125875862,Gpr39,protein_coding
chr1,125974754,125974784,0.7,0.53,0.39,chr1,125911620,126832799,Nckap5,protein_coding
chr1,126658757,126658855,0.55,0.45,0.34,chr1,125911620,126832799,Nckap5,protein_coding
chr1,126658932,126659011,0.65,0.52,0.34,chr1,125911620,126832799,Nckap5,protein_coding
chr1,127241512,127241548,0.67,0.57,0.42,chr1,127240091,127245484,RP23-323H18.1,TEC
chr1,127241512,127241548,0.67,0.57,0.42,chr1,127203015,127490336,Mgat5,protein_coding
chr1,127253198,127253347,0.76,0.6,0.5,chr1,127203015,127490336,Mgat5,protein_coding
chr1,127306377,127306396,0.68,0.6,0.47,chr1,127203015,127490336,Mgat5,protein_coding
chr1,127439404,127439410,0.68,0.45,0.33,chr1,127203015,127490336,Mgat5,protein_coding
chr1,127439614,127439625,0.45,0.26,0.17,chr1,127203015,127490336,Mgat5,protein_coding
chr1,127622511,127622549,0.81,0.74,0.6,chr1,127484546,127681548,Tmem163,protein_coding
chr1,127796645,127796737,0.53,0.27,0.25,chr1,127772164,127810061,Ccnt2,protein_coding
chr1,127802981,127803086,0.74,0.52,0.45,chr1,127772164,127810061,Ccnt2,protein_coding
chr1,127803161,127803241,0.7,0.54,0.45,chr1,127772164,127810061,Ccnt2,protein_coding
chr1,127936810,127937050,0.54,0.42,0.29,chr1,127866773,127945868,Rab3gap1,protein_coding
chr1,128073133,128073263,0.76,0.5,0.37,chr1,127952184,128105047,Zranb3,protein_coding
chr1,128199094,128199101,0.9,0.9,0.7,chr1,128101301,128239736,R3hdm1,protein_coding
chr1,128295351,128295411,0.73,0.65,0.51,chr1,128282756,128330318,Lct,protein_coding
chr1,128316002,128316012,0.67,0.74,0.47,chr1,128282756,128330318,Lct,protein_coding
chr1,128749987,128750024,0.68,0.52,0.48,chr1,128748926,128753347,Gm29599,processed_pseudogene
chr1,129484448,129484725,0.56,0.4,0.32,chr1,129271302,130221278,Thsd7b,protein_coding
chr1,130588904,130588907,0.48,0.61,0.39,chr1,130574713,130631621,Zp3r,protein_coding
chr1,131022571,131022606,0.22,0.42,0.41,chr1,131017845,131026974,Il10,protein_coding
chr1,131054880,131055163,0.63,0.46,0.34,chr1,131051700,131099826,Mapkapk2,protein_coding
chr1,131056823,131056960,0.82,0.55,0.47,chr1,131051700,131099826,Mapkapk2,protein_coding
chr1,131064352,131064398,0.48,0.25,0.21,chr1,131051700,131099826,Mapkapk2,protein_coding
chr1,131125800,131125812,0.66,0.53,0.44,chr1,131125455,131140340,Dyrk3,protein_coding
chr1,131239044,131239079,0.48,0.39,0.25,chr1,131174410,131247258,Rassf5,protein_coding
chr1,131239165,131239251,0.47,0.36,0.27,chr1,131174410,131247258,Rassf5,protein_coding
chr1,132010856,132010908,0.52,0.39,0.26,chr1,132005607,132034612,Elk4,protein_coding
chr1,132010856,132010908,0.52,0.39,0.26,chr1,131960954,132016486,Gm29103,processed_transcript
chr1,132218601,132218615,0.76,0.64,0.56,chr1,132189431,132261227,Lemd1,protein_coding
chr1,132357718,132357727,0.39,0.59,0.48,chr1,132354315,132393281,Tmcc2,protein_coding
chr1,132893298,132893313,0.55,0.41,0.29,chr1,132878273,132942005,Lrrn2,protein_coding
chr1,132912959,132912983,0.63,0.5,0.43,chr1,132878273,132942005,Lrrn2,protein_coding
chr1,133277103,133277122,0.58,0.45,0.36,chr1,133179321,133305435,Plekha6,protein_coding
chr1,133287139,133287376,0.58,0.5,0.38,chr1,133179321,133305435,Plekha6,protein_coding
chr1,133687209,133687343,0.45,0.34,0.2,chr1,133677091,133692108,Lax1,protein_coding
chr1,133802032,133802085,0.69,0.56,0.45,chr1,133697457,133803041,Atp2b4,protein_coding
chr1,134191385,134191423,0.56,0.45,0.34,chr1,134180176,134192181,Chil1,protein_coding
chr1,134298603,134298616,0.71,0.61,0.5,chr1,134294783,134334928,Ppfia4,protein_coding
chr1,134327936,134328058,0.59,0.5,0.38,chr1,134294783,134334928,Ppfia4,protein_coding
chr1,134818866,134818927,0.81,0.65,0.55,chr1,134817916,134829549,RP24-541A5.1,TEC
chr1,134818866,134818927,0.81,0.65,0.55,chr1,134752658,134957942,Ppp1r12b,protein_coding
chr1,134889662,134889871,0.4,0.25,0.18,chr1,134752658,134957942,Ppp1r12b,protein_coding
chr1,134909561,134909566,0.34,0.18,0.12,chr1,134752658,134957942,Ppp1r12b,protein_coding
chr1,135129224,135129342,0.44,0.23,0.15,chr1,135106497,135134594,Ptprv,processed_transcript
chr1,135234043,135234176,0.89,0.77,0.68,chr1,135229995,135235225,Gm4204,processed_pseudogene
chr1,135386218,135386435,0.77,0.62,0.53,chr1,135380312,135432499,Ipo9,protein_coding
chr1,135387390,135387397,0.56,0.43,0.33,chr1,135380312,135432499,Ipo9,protein_coding
chr1,135830051,135830246,0.61,0.43,0.33,chr1,135816598,135835342,Lad1,protein_coding
chr1,135900276,135900307,0.56,0.48,0.33,chr1,135894394,135901089,RP23-320P13.1,TEC
chr1,135900276,135900307,0.56,0.48,0.33,chr1,135869395,135921207,Pkp1,protein_coding
chr1,136048885,136048927,0.52,0.73,0.73,chr1,136048804,136053370,Ascl5,protein_coding
chr1,136143368,136143383,0.63,0.53,0.42,chr1,136129389,136179998,Kif21b,protein_coding
chr1,136521640,136521755,0.58,0.38,0.26,chr1,136464343,136533511,Kif14,protein_coding
chr1,136554144,136554350,0.5,0.39,0.28,chr1,136539605,136557873,RP24-68C1.3,lincRNA
chr1,143605016,143605032,0.59,0.37,0.32,chr1,143596800,143704893,Cdc73,protein_coding
chr1,143644258,143644261,0.72,0.52,0.51,chr1,143596800,143704893,Cdc73,protein_coding
chr1,143644258,143644261,0.72,0.52,0.51,chr1,143638664,143656614,B3galt2,protein_coding
chr1,143773952,143774141,0.58,0.45,0.34,chr1,143748790,143779068,Trove2,protein_coding
chr1,144161935,144162084,0.5,0.34,0.24,chr1,144136654,144179372,Rgs13,protein_coding
chr1,149863133,149863136,0.59,0.36,0.26,chr1,149827618,149963290,Pla2g4a,protein_coding
chr1,150145097,150145262,0.78,0.61,0.52,chr1,150143968,150148569,Gm9687,processed_pseudogene
chr1,151670292,151670465,0.66,0.58,0.42,chr1,151569186,151723939,Fam129a,protein_coding
chr1,152032711,152032735,0.78,0.64,0.57,chr1,151850403,152092125,1700025G04Rik,protein_coding
chr1,152377165,152377225,0.64,0.54,0.44,chr1,152368735,152388688,Tsen15,protein_coding
chr1,152581156,152581206,0.78,0.68,0.53,chr1,152514760,152768351,Rgl1,protein_coding
chr1,152702969,152702974,0.74,0.61,0.44,chr1,152514760,152768351,Rgl1,protein_coding
chr1,152727692,152727716,0.49,0.41,0.28,chr1,152727159,152732559,Gm7278,processed_pseudogene
