chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr7,61877703,61878204,0.9607986253140968,chr7,61875770,61879864,ENSMUSG00000065568.1,-,Mir344,miRNA,10.8079994136131,14.5777554298547,21.2284858730559
chrX,50572615,50573116,3.252567004922348,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.317882335694502,2.06267127703826,3.16068567443277
chrX,50605469,50605970,3.482572610368671,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.225166654450272,2.89701022055935,2.6653543373948
chrX,50619929,50620430,3.2201455272299704,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,1.7803511261464118,8.784125433710521,14.3873486318988
chrX,50602838,50603339,3.6051030857401054,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,1.3420502719526994,13.364497087196913,15.185087909241636
chrX,50614835,50615336,3.1091142148412265,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.34437253033571,2.61889723938566,3.08992405485592
chr4,113172189,113172690,6.907070438896581,chr4,112802616,113288973,ENSMUSG00000087194.5,-,Skint6,protein_coding,0.0,0.38430908780373974,4.013439707175462
chr8,19161545,19162046,2.044674153281015,chr8,19155886,19161578,ENSMUSG00000079842.1,+,Spag11a,protein_coding,2.9982818791014467,7.612868407053386,10.098665998843378
chr8,20921978,20922479,5.969354717150924,chr8,20914490,20924071,ENSMUSG00000071165.3,-,Gm6040,protein_coding,0.099185295982989,1.290686969985505,2.805764034122764
chr13,3361068,3361569,1.4418030045663728,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,2.68875475608266,5.49273137818053,7.38279564251834
chrX,50611625,50612126,3.1415356925336035,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.25165684909148,2.41031250350538,2.33513344603615
chrX,50580138,50580639,3.129947718258392,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,1.140355910012822,11.518635416697123,14.345051116334226
chrX,50612158,50612659,2.450740279800324,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.529803892824169,2.78112981173698,2.97198802222783
chrX,76598775,76599276,2.366350776136908,chrX,76580610,76604924,ENSMUSG00000079525.1,-,4930468A15Rik,protein_coding,7.2449757875558625,16.89481581756455,23.131928484358948
chrX,50597047,50597548,2.917218394272664,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.317882335694502,2.38713642174091,2.50024389171547
chr9,3023876,3024377,1.5809966657516654,chr9,3021547,3027218,ENSMUSG00000095186.1,+,Gm10718,protein_coding,1.07285288296894,4.24122296289889,3.25503450053524
chr9,3023876,3024377,1.5809966657516654,chr9,3023417,3035289,ENSMUSG00000095891.3,+,Gm10717,protein_coding,1.07285288296894,4.24122296289889,3.25503450053524
chr9,3023876,3024377,1.5809966657516654,chr9,2998282,3040313,ENSMUSG00000097312.1,-,Gm26870,lincRNA,1.07285288296894,4.24122296289889,3.25503450053524
chrX,50602337,50602838,3.228998533783943,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,1.0633331907247592,10.137473349085825,9.62496412204887
chrX,50572076,50572577,3.2859256018687786,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.238411751770876,1.87726262292246,2.45306947866424
chr7,25250554,25251055,0.8405579928031344,chr7,25240561,25252761,ENSMUSG00000040857.11,-,Erf,protein_coding,9.94706808777378,15.1571574739665,17.9734513725207
chr7,25902570,25903071,1.5522277215364837,chr7,25895620,25928624,ENSMUSG00000030483.10,+,Cyp2b10,protein_coding,1.74835284631976,3.38370793761333,5.18918543563589
chr7,35813314,35813815,0.9000574300662575,chr7,35800592,35840074,ENSMUSG00000044997.3,+,E130304I02Rik,antisense,7.37751920757656,8.96914364285176,13.8928646435888
chr9,35630810,35631311,2.7738039080331167,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,0.2770540956965464,3.5025360060785107,3.7609719278331766
chr9,35608152,35608653,1.373873301144481,chr9,35605093,35613935,ENSMUSG00000032099.2,-,Pate4,protein_coding,2.5033233935942,4.75109676171734,6.55724341412172
chr9,35608152,35608653,1.373873301144481,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,2.5033233935942,4.75109676171734,6.55724341412172
chr7,14622375,14622876,2.2422986694685205,chr7,14528652,14624479,ENSMUSG00000041596.8,-,Nlrp5-ps,transcribed_unprocessed_pseudogene,0.609274476747795,1.32103666057507,2.94840081570221
chr7,13311518,13312019,0.7925946460085218,chr7,13275283,13313433,ENSMUSG00000056394.13,+,Lig1,protein_coding,7.8410976137977,11.9820342722335,13.7041669913839
chr8,3748704,3749205,0.9149000474298165,chr8,3741395,3750984,ENSMUSG00000031494.6,-,Cd209a,protein_coding,6.00002908623372,10.8232301840097,11.416207958399
chr9,35645994,35646495,2.121497939297059,chr9,35643117,35650202,ENSMUSG00000094995.1,-,Gm17365,protein_coding,2.5234107157427395,6.630815800078615,5.238029411928858
chr9,35645994,35646495,2.121497939297059,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,2.5234107157427395,6.630815800078615,5.238029411928858
chr7,16286142,16286643,0.5707870510321484,chr7,16272042,16288795,ENSMUSG00000041375.14,-,Ccdc9,protein_coding,18.7153225140138,25.3546334503355,28.0451885589594
chr7,45395596,45396097,0.6111837072140377,chr7,45374462,45397692,ENSMUSG00000063511.8,-,Snrnp70,protein_coding,15.6424599356336,19.328852191572,24.1061250691813
chrX,50599704,50600205,2.119167879505149,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.503313698182961,2.24807993115406,2.24078461993368
chr7,47008214,47008715,0.5414519047877846,chr7,46988396,47010411,ENSMUSG00000049516.7,-,Spty2d1,protein_coding,19.5497636452118,26.4670853750303,28.7056303416767
chrX,50569053,50569554,4.241071366084518,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.0794705839236254,1.59914964174876,1.74545328289571
chr9,35607592,35608093,0.9984983803461028,chr9,35605093,35613935,ENSMUSG00000032099.2,-,Pate4,protein_coding,4.00001939082248,6.95282452934245,8.06682463176125
chr9,35607592,35608093,0.9984983803461028,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,4.00001939082248,6.95282452934245,8.06682463176125
chrX,50604966,50605467,2.9571111213961765,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.185431362488459,2.13219952233168,1.53316842416515
chr9,3006564,3007065,1.962051862666447,chr9,3001346,3008948,ENSMUSG00000096385.3,+,Gm11168,protein_coding,434.9753592271291,1023.1042938389464,887.7835937678933
chr9,3006564,3007065,1.962051862666447,chr9,2998282,3040313,ENSMUSG00000097312.1,-,Gm26870,lincRNA,434.9753592271291,1023.1042938389464,887.7835937678933
chr17,28328270,28328771,0.687566535351857,chr17,28326471,28333032,ENSMUSG00000037805.10,+,Rpl10a,protein_coding,12.5563522599328,17.6138221410009,20.4029336446593
chr17,28328270,28328771,0.687566535351857,chr17,28311530,28328568,ENSMUSG00000007570.11,+,Fance,protein_coding,12.5563522599328,17.6138221410009,20.4029336446593
chr13,3360563,3361064,1.544747756415658,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,1.28477444009861,3.26782752879095,3.79754025062445
chr7,4136728,4137229,0.4848173518218298,chr7,4117408,4138706,ENSMUSG00000030428.12,+,Ttyh1,protein_coding,22.3709693745005,27.4636568909027,31.5832695378021
chr7,4136728,4137229,0.4848173518218298,chr7,4124340,4138926,ENSMUSG00000085886.1,-,D030047H15Rik,processed_transcript,22.3709693745005,27.4636568909027,31.5832695378021
chr7,4136728,4137229,0.4848173518218298,chr7,4135039,4150173,ENSMUSG00000035545.9,+,Leng8,protein_coding,22.3709693745005,27.4636568909027,31.5832695378021
chrX,170675424,170675925,1.415710655972598,chrX,170670644,170680054,ENSMUSG00000093806.1,+,Asmt,protein_coding,1.69537245703734,3.17512320173305,4.57591806596983
chrX,75734851,75735352,2.067535111089827,chrX,75704932,75766699,ENSMUSG00000087396.3,-,4933407K13Rik,processed_transcript,6.351197257965149,14.102377168194739,17.623212418394413
chr18,37668608,37669109,1.971610691091292,chr18,36950741,37842200,ENSMUSG00000103458.1,+,PCDHA4,protein_coding,1.1154200357353379,3.403206251814456,6.640921053534258
chr18,37668608,37669109,1.971610691091292,chr18,36967916,37835296,ENSMUSG00000102836.1,+,RP23-407E2.5,protein_coding,1.1154200357353379,3.403206251814456,6.640921053534258
chr18,37668608,37669109,1.971610691091292,chr18,36973941,37835296,ENSMUSG00000103125.1,+,RP23-407E2.6,protein_coding,1.1154200357353379,3.403206251814456,6.640921053534258
chr18,37668608,37669109,1.971610691091292,chr18,37659793,37843873,ENSMUSG00000103144.1,+,Pcdhga1,protein_coding,1.1154200357353379,3.403206251814456,6.640921053534258
chr18,37668608,37669109,1.971610691091292,chr18,37666953,37843870,ENSMUSG00000103332.1,+,Pcdhga2,protein_coding,1.1154200357353379,3.403206251814456,6.640921053534258
chrX,50623087,50623588,2.5014316376199868,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.304637238373897,1.69185396880666,1.79262769594694
chr7,19310119,19310620,0.6118270472359446,chr7,19300721,19312045,ENSMUSG00000003545.2,-,Fosb,protein_coding,11.0464111653839,14.8790444927928,17.029963111496
chr13,3359246,3359747,1.896228879249154,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,3.647141589376027,5.09594119713454,6.247249545213467
chrX,50597554,50598055,3.2790392162835387,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.119205875885438,0.996571515872418,1.27370915238336
chr7,130576900,130577401,0.8773910942318743,chr7,130575484,130766784,ENSMUSG00000030852.11,+,Tacc2,protein_coding,5.49671538805076,8.36656551697541,10.1896732190668
chr7,130576900,130577401,0.8773910942318743,chr7,130160451,133125350,ENSMUSG00000030849.13,-,Fgfr2,protein_coding,5.49671538805076,8.36656551697541,10.1896732190668
chr13,54789009,54789510,0.7503123131322031,chr13,54781998,54790459,ENSMUSG00000074895.6,+,Eif4e1b,protein_coding,9.58945046011746,16.7331310339508,16.2751725026762
chr13,54789009,54789510,0.7503123131322031,chr13,54787377,54798776,ENSMUSG00000025875.10,+,Tspan17,protein_coding,9.58945046011746,16.7331310339508,16.2751725026762
chrX,75733625,75734126,2.0461161274549213,chrX,75704932,75766699,ENSMUSG00000087396.3,-,4933407K13Rik,processed_transcript,7.328640311540006,21.766083330927255,22.92111830797024
chr7,45466616,45467117,0.7384115147982608,chr7,45459695,45468898,ENSMUSG00000003873.10,-,Bax,protein_coding,10.6358131484452,16.6404267068929,17.9026897529438
chr7,19359199,19359700,0.685856208757414,chr7,19354849,19361483,ENSMUSG00000047649.8,-,Cd3eap,protein_coding,10.1589896449034,13.0713101151638,16.4874573614068
chr7,19359199,19359700,0.685856208757414,chr7,19357749,19380533,ENSMUSG00000040734.10,+,Ppp1r13l,protein_coding,10.1589896449034,13.0713101151638,16.4874573614068
chr7,19664828,19665329,0.6882206744112122,chr7,19629581,19667030,ENSMUSG00000002981.9,-,Clptm1,protein_coding,12.7682738170625,16.9648918515956,20.7567417425436
chr9,36258780,36259281,3.141535692533604,chr9,36253931,36260323,ENSMUSG00000066767.5,-,Gm3867,lincRNA,0.185431362488459,1.83091045939351,1.74545328289571
chrX,50591409,50591910,2.800498774698537,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,1.1265018957103798,7.226792201310575,7.251906085395052
chr7,38107419,38107920,0.4247479803050278,chr7,38095984,38109534,ENSMUSG00000002068.12,-,Ccne1,protein_coding,29.1392141053293,36.0388071437584,39.4613965173584
chr8,20329914,20330415,2.404570098367397,chr8,20290477,20422781,ENSMUSG00000097263.1,+,Gm26804,lincRNA,0.357617627656314,1.76138221410009,1.95773814162627
chr7,16923867,16924368,0.4574799134816106,chr7,16913379,16926114,ENSMUSG00000019370.10,-,Calm3,protein_coding,30.8345865623666,39.0516977731401,42.7164310178936
chr8,21823745,21824246,0.9822021023590068,chr8,21821539,21833296,ENSMUSG00000058568.6,+,Defb50,protein_coding,4.704382815879738,12.793345092061513,14.855196337975904
chr7,24546774,24547275,0.5009707274084405,chr7,24539699,24548071,ENSMUSG00000011632.6,-,Pinlyp,protein_coding,18.8345283898992,23.5468990727064,26.8894154392042
chr7,24546774,24547275,0.5009707274084405,chr7,24545150,24575438,ENSMUSG00000051768.8,+,Xrcc1,protein_coding,18.8345283898992,23.5468990727064,26.8894154392042
chr7,30588607,30589108,0.497014308691509,chr7,30566858,30590726,ENSMUSG00000006307.12,-,Kmt2b,protein_coding,21.5365282433025,26.745198356204,30.663368483303
chr7,30588607,30589108,0.497014308691509,chr7,30587380,30591437,ENSMUSG00000098553.1,+,Mir3569,miRNA,21.5365282433025,26.745198356204,30.663368483303
chr7,30588607,30589108,0.497014308691509,chr7,30587681,30600909,ENSMUSG00000006310.10,-,Zbtb32,protein_coding,21.5365282433025,26.745198356204,30.663368483303
chr12,113317301,113317802,1.1665808219799314,chr12,113313712,113319877,ENSMUSG00000102962.1,+,RP23-351J19.5,IG_C_pseudogene,6.4808563567445185,8.27802640711238,15.745343255901528
chr17,13550804,13551305,1.9044964952327543,chr17,13480553,13763825,ENSMUSG00000038347.10,-,Tcte2,protein_coding,0.860931325839275,1.80773437762904,3.27862170706086
chrX,75749265,75749766,1.92923208882074,chrX,75704932,75766699,ENSMUSG00000087396.3,-,4933407K13Rik,processed_transcript,0.741725449953837,2.41031250350538,2.87763919612536
chr7,25676352,25676853,0.6354539805974853,chr7,25667139,25677166,ENSMUSG00000061702.6,-,Tmem91,protein_coding,9.60269555743807,11.7270973728243,15.0486377633441
chr8,19214079,19214580,2.021241458815892,chr8,19208462,19214994,ENSMUSG00000081163.1,+,Defa-ps12,unprocessed_pseudogene,1.5969401069743905,3.794018926734696,7.302017028222303
chr7,45162085,45162586,0.5106867929049119,chr7,45161921,45178138,ENSMUSG00000070570.4,+,Slc17a7,protein_coding,19.3643322827234,23.4541947456485,27.8329037002289
chr7,44246476,44246977,0.5830267334308269,chr7,44246090,44250180,ENSMUSG00000080352.1,+,Gm26247,snoRNA,14.8742442910386,20.4181280345023,22.4786078189137
chr7,44246476,44246977,0.5830267334308269,chr7,44244722,44254319,ENSMUSG00000045411.12,+,2410002F23Rik,protein_coding,14.8742442910386,20.4181280345023,22.4786078189137
chr7,44246476,44246977,0.5830267334308269,chr7,44244726,44264720,ENSMUSG00000101166.2,+,Gm28496,processed_transcript,14.8742442910386,20.4181280345023,22.4786078189137
chrX,50614325,50614826,2.404570098367397,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,2.398181587398171,8.18756274263302,9.721917835776201
chrX,50616956,50617457,2.205261290143991,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.397352919618127,1.96996694998036,1.88697652204941
chr5,117119776,117120277,0.5578527440390202,chr5,117113218,117120723,ENSMUSG00000086047.1,+,9530046B11Rik,processed_transcript,14.9139795830004,19.4679086821589,22.148386927555
chr5,117119776,117120277,0.5578527440390202,chr5,117118129,117277219,ENSMUSG00000061288.9,+,Taok3,protein_coding,14.9139795830004,19.4679086821589,22.148386927555
chr7,27486662,27487163,0.4699678216369132,chr7,27484910,27492316,ENSMUSG00000008384.8,+,Sertad1,protein_coding,22.2650085959357,26.1889723938566,31.1115254072897
chr7,27487200,27487701,0.6431985626337304,chr7,27484910,27492316,ENSMUSG00000008384.8,+,Sertad1,protein_coding,8.84772501016363,13.3494230963375,13.9400390566401
chr7,31053083,31053584,0.5698875450933285,chr7,31049681,31057656,ENSMUSG00000036570.10,-,Fxyd1,protein_coding,9.98680337973559,12.4687319892875,14.9542889372416
chr7,31053083,31053584,0.5698875450933285,chr7,31040517,31053462,ENSMUSG00000036578.6,-,Fxyd7,protein_coding,9.98680337973559,12.4687319892875,14.9542889372416
chr14,70181065,70181566,1.2123087669469848,chr14,70178468,70209637,ENSMUSG00000022091.5,-,Sorbs3,protein_coding,2.35762732306755,4.24122296289889,5.51940632699454
chr7,46795529,46796030,0.5804199337668156,chr7,46794103,46825800,ENSMUSG00000006599.9,+,Gtf2h1,protein_coding,12.384165994765,14.2764663669165,18.6810675682892
chr7,46795529,46796030,0.5804199337668156,chr7,46758466,46798064,ENSMUSG00000014418.11,-,Hps5,protein_coding,12.384165994765,14.2764663669165,18.6810675682892
chr7,28350406,28350907,0.6242216632511522,chr7,28348652,28354696,ENSMUSG00000037563.10,+,Rps16,protein_coding,14.9404697776416,19.3056761098075,23.2333984277334
chr7,28350406,28350907,0.6242216632511522,chr7,28349508,28353632,ENSMUSG00000077711.1,+,AF357399,snoRNA,14.9404697776416,19.3056761098075,23.2333984277334
chrX,75729768,75730269,1.953463344381032,chrX,75704932,75766699,ENSMUSG00000087396.3,-,4933407K13Rik,processed_transcript,0.463578406221148,1.92361478645141,1.83980210899818
chr8,19249825,19250326,1.7468512552109274,chr8,19245580,19252828,ENSMUSG00000039785.5,+,Defb5,protein_coding,0.794705839236254,1.64550180527771,2.71252875044603
chr7,25619118,25619619,0.6520628888423683,chr7,25617414,25627551,ENSMUSG00000057229.7,+,Atp5sl,protein_coding,10.0132935743768,14.5082271845612,15.8741899917407
chr7,29237981,29238482,0.5053646392868452,chr7,29236329,29249593,ENSMUSG00000030588.7,+,Yif1b,protein_coding,19.2053911148761,22.8747927015367,27.5026828088702
chrX,50590637,50591138,3.067535111089827,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.198676459809063,1.83091045939351,1.76904048942133
chrX,170674840,170675341,0.8533563890007819,chrX,170670644,170680054,ENSMUSG00000093806.1,+,Asmt,protein_coding,4.46359779704363,7.60175481874774,8.1375862513381
chr18,78031837,78032338,0.9874125472141844,chr18,77936467,78037027,ENSMUSG00000039840.7,+,Epg5,protein_coding,5.054024568931785,7.362171179282213,16.84368419409274
chr17,23592463,23592964,0.6860384436950382,chr17,23573845,23601487,ENSMUSG00000062012.9,-,Zfp13,protein_coding,10.172234742224,13.7434164863336,16.5110445679324
chr7,16098028,16098529,0.4785706798111746,chr7,16069942,16098328,ENSMUSG00000078796.3,+,Zfp541,protein_coding,26.4107240572848,34.1615445208359,37.1262630713222
chr7,16098028,16098529,0.4785706798111746,chr7,16096458,16119975,ENSMUSG00000006024.8,+,Napa,protein_coding,26.4107240572848,34.1615445208359,37.1262630713222
chr7,18892105,18892606,0.7216625472342821,chr7,18882690,18892438,ENSMUSG00000030413.6,+,Pglyrp1,protein_coding,6.84771531475239,8.83008715226491,11.3926207518733
chr7,18892105,18892606,0.7216625472342821,chr7,18888883,18912415,ENSMUSG00000074358.5,-,Ccdc61,protein_coding,6.84771531475239,8.83008715226491,11.3926207518733
chr7,27473431,27473932,0.7668661355742682,chr7,27471768,27479359,ENSMUSG00000055200.6,+,Sertad3,protein_coding,7.73513683523287,9.82665866813733,13.2795972739228
chr17,34187162,34187663,0.7082626218056938,chr17,34179988,34189764,ENSMUSG00000096727.1,-,Psmb9,protein_coding,7.29804862365293,10.7073497751874,12.029475328065
chr17,34187162,34187663,0.7082626218056938,chr17,34185553,34199225,ENSMUSG00000037321.13,+,Tap1,protein_coding,7.29804862365293,10.7073497751874,12.029475328065
chr15,99294794,99295295,0.5005916324658539,chr15,99293087,99319018,ENSMUSG00000023007.11,+,Prpf40b,protein_coding,18.0133323560218,21.8550451038998,25.7100551129233
chr11,120633364,120633865,0.6403907225626007,chr11,120623117,120635600,ENSMUSG00000051510.9,-,Mafg,protein_coding,13.1391365420394,18.1005198580548,20.6623929164411
chr11,120633364,120633865,0.6403907225626007,chr11,120631768,120637125,ENSMUSG00000097062.1,+,Gm17586,lincRNA,13.1391365420394,18.1005198580548,20.6623929164411
chr11,120633364,120633865,0.6403907225626007,chr11,120633712,120645769,ENSMUSG00000025140.11,-,Pycr1,protein_coding,13.1391365420394,18.1005198580548,20.6623929164411
chr7,137410517,137411018,0.4813383388215008,chr7,137373574,137412762,ENSMUSG00000040139.10,-,9430038I01Rik,protein_coding,17.9206166747775,22.0172776762511,25.2383109824109
chr7,99535276,99535777,0.6090198772224188,chr7,99533466,99608771,ENSMUSG00000018909.11,+,Arrb1,protein_coding,13.15238163936,19.6533173362747,20.23782319898
chr7,19508422,19508923,0.6513168491962611,chr7,19503814,19510331,ENSMUSG00000057667.6,-,Bloc1s3,protein_coding,10.2119700341859,13.326247014573,16.1808236765737
chr7,19508422,19508923,0.6513168491962611,chr7,19506670,19518145,ENSMUSG00000002043.12,+,Trappc6a,protein_coding,10.2119700341859,13.326247014573,16.1808236765737
chr17,26939349,26939850,0.4273374569663267,chr17,26935973,26941478,ENSMUSG00000024194.11,-,Cuta,protein_coding,25.2451554930717,30.1520823755818,34.2486238751969
chr17,26939349,26939850,0.4273374569663267,chr17,26931127,26939890,ENSMUSG00000024193.7,+,Phf1,protein_coding,25.2451554930717,30.1520823755818,34.2486238751969
chr17,26939349,26939850,0.4273374569663267,chr17,26939384,26974434,ENSMUSG00000067629.6,+,Syngap1,protein_coding,25.2451554930717,30.1520823755818,34.2486238751969
chr7,34233890,34234391,0.4306583930081196,chr7,34228420,34236075,ENSMUSG00000086526.1,-,Gm12762,antisense,24.4239594591942,28.8542217967712,33.2107867880697
chr7,34233890,34234391,0.4306583930081196,chr7,34232377,34242207,ENSMUSG00000085105.1,+,Gm12758,processed_transcript,24.4239594591942,28.8542217967712,33.2107867880697
chr7,30559566,30560067,0.5537554271649681,chr7,30559868,30565184,ENSMUSG00000036835.6,-,Psenen,protein_coding,16.2782246070226,19.6996694998036,24.1061250691813
chr7,30559566,30560067,0.5537554271649681,chr7,30553441,30561838,ENSMUSG00000036845.8,-,Lin37,protein_coding,16.2782246070226,19.6996694998036,24.1061250691813
chrX,75744418,75744919,1.9306389100349848,chrX,75704932,75766699,ENSMUSG00000087396.3,-,4933407K13Rik,processed_transcript,0.649009768709607,2.20172776762511,2.52383109824109
chr7,19920434,19920935,0.6351830265088141,chr7,19901578,19923160,ENSMUSG00000040511.9,-,Pvr,protein_coding,7.60268586202683,10.3365324669558,11.9115392954369
chr7,19920434,19920935,0.6351830265088141,chr7,19918729,19929607,ENSMUSG00000090075.1,+,Gm16251,antisense,7.60268586202683,10.3365324669558,11.9115392954369
chr8,19160865,19161366,2.795360051399564,chr8,19155886,19161578,ENSMUSG00000079842.1,+,Spag11a,protein_coding,0.584029410651582,1.659624907427919,3.814327774647467
chr17,30004449,30004950,0.5720541786014561,chr17,30003087,30212019,ENSMUSG00000044477.10,+,Zfand3,protein_coding,12.7550287197419,16.8490114427732,19.1292244922759
chr7,19227966,19228467,0.3646287450155752,chr7,19226334,19258543,ENSMUSG00000052214.8,+,Opa3,protein_coding,34.2650667684031,42.5512861195758,44.5090587138406
chr9,35592848,35593349,1.1310686934825354,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,2.1854410578997,4.47298378054364,4.83537733775163
chr10,80329748,80330249,0.5590319824219054,chr10,80319283,80331498,ENSMUSG00000020131.10,-,Pcsk4,protein_coding,12.4106561894062,17.6601743045298,18.445195503033
chr10,80329748,80330249,0.5590319824219054,chr10,80327953,80338441,ENSMUSG00000035504.12,+,Reep6,protein_coding,12.4106561894062,17.6601743045298,18.445195503033
chr17,24141408,24141909,0.4373704848054566,chr17,24071680,24152924,ENSMUSG00000024122.12,-,Pdpk1,protein_coding,20.5299008469366,29.0164543691225,28.0451885589594
chr7,84689744,84690245,0.5034802101348639,chr7,84687640,84778549,ENSMUSG00000085236.2,+,2610206C17Rik,processed_transcript,15.6027246436718,20.8816496697918,22.3134973732343
chr17,35262780,35263281,0.83617144252069,chr17,35260730,35269499,ENSMUSG00000073411.7,+,H2-D1,protein_coding,5.72188204250103,8.71420674344254,10.3076092516949
chr7,19403905,19404406,1.5700879982869291,chr7,19392437,19406104,ENSMUSG00000040714.9,-,Klc3,protein_coding,6.913611911727997,8.91951854500228,13.185529531832941
chr8,19127548,19128049,1.9571111213961765,chr8,19121752,19128540,ENSMUSG00000052554.3,+,Defb34,protein_coding,1.7997432697318985,3.754996422046197,6.223172470005211
chr7,24399347,24399848,0.5048254172157989,chr7,24397619,24424778,ENSMUSG00000002210.7,+,Smg9,protein_coding,15.3245775999391,21.2524669780234,21.9361020688244
chr15,75748167,75748668,0.5530191286790548,chr15,75744843,75749922,ENSMUSG00000047591.4,-,Mafa,protein_coding,15.059675653527,19.8387259903905,22.2899101667087
chr11,101315965,101316466,0.6652794512549478,chr11,101314213,101325537,ENSMUSG00000078652.5,+,Psme3,protein_coding,8.21196033877462,12.5150841528164,13.1380740347691
chr12,88028793,88029294,0.937225630180614,chr12,88025004,88029438,ENSMUSG00000095717.1,+,Gm2056,protein_coding,3.41723510871589,5.46955529641606,6.60441782717295
